SNOMED_CID,SNOMED_FSN,SNOMED_ENTITY,UMLS_CUI
70036007,Haemophilus influenzae pneumonia ,disorder,C0276026
92102001,Benign neoplasm of female breast ,disorder,C0235922
48500005,Delusional disorder ,disorder,C0011251
3577000,Retinal lattice degeneration ,disorder,C0154856
373945007,Pericardial effusion ,disorder,C0031039
433146000,Chronic kidney disease stage 5 ,disorder,C2316810
72352009,Bicuspid aortic valve ,disorder,C0149630
25093002,Disorder of eye due to diabetes mellitus ,disorder,C0342245
31712002,Primary biliary cholangitis ,disorder,C0008312
417076003,Dislocation of shoulder joint ,disorder,C0037005
93471006,Hemangioma of skin ,disorder,C0687140
402519009,Basal cell carcinoma of face ,disorder,C1304291
449717009,Cellulitis and abscess of upper limb ,disorder,C3266014
192071009,Mild memory disturbance ,finding,C0423927
25225006,Disease caused by Adenovirus ,disorder,C0001486
394888000,Hormone replacement therapy requested ,situation,C1273544
444107005,Exposure to communicable disease ,event,C2732961
46109009,Subendocardial ischemia ,disorder,C0264695
56783008,Incision AND drainage ,procedure,C0152277
67438002,Poisoning caused by anticoagulant ,disorder,C0161530
274571007,Blind left eye ,disorder,C0558722
274572000,Blind right eye ,disorder,C0558723
128200000,Complex regional pain syndrome ,disorder,C0458219
232419008,Enlargement of tonsil or adenoid ,disorder,C0155829
427461000,Near syncope ,disorder,C0700200
69741000,Hidradenitis ,disorder,C0085160
91857003,"Acute lymphoid leukemia, disease ",disorder,C0023449
171259000,Not up to date with immunizations ,finding,C0421373
237527007,Postablative hypothyroidism ,disorder,C0342165
23919004,Labyrinthitis ,disorder,C0022893
127014009,Peripheral angiopathy due to diabetes mellitus ,disorder,C0011871
230471006,Chronic tension-type headache ,disorder,C0393738
24496007,Hemorrhoidectomy ,procedure,C0019108
247081001,Posterior vitreous detachment ,disorder,C0423361
118797008,Procedure on heart ,procedure,C1279986
276883000,Peritoneal dialysis-associated peritonitis ,disorder,C0456239
425934009,Cardioverter defibrillator procedure ,procedure,C1960586
82719008,Fetal or neonatal effect of maternal anesthesia and/or analgesia ,disorder,C0270063
42188001,Closed fracture of ankle ,disorder,C0272769
60380001,Narcolepsy ,disorder,C0027404
82525005,Congenital cystic kidney disease ,disorder,C0311245
197315008,Non-alcoholic fatty liver ,disorder,C0400966
399490008,Adenocarcinoma of prostate ,disorder,C0007112
425940002,Inflammation of bursa of olecranon ,disorder,C0263962
28926001,Eruption caused by drug ,disorder,C0011609
31658008,Chronic paranoid schizophrenia ,disorder,C0270398
59455009,Metabolic acidosis ,disorder,C0220981
15241006,Disorder of autonomic nervous system ,disorder,C1145628
35265002,Mallory-Weiss syndrome ,disorder,C0024633
387643005,Partial hysterectomy ,procedure,C1270947
401191002,Diabetic foot examination ,regime/therapy,C1303165
197834003,Chronic interstitial cystitis ,disorder,C0600040
4103001,Complex partial seizure with impairment of consciousness ,disorder,C0270834
41309000,Alcoholic liver damage ,disorder,C1442981
68225006,Alopecia areata ,disorder,C0002171
79280005,Hypersomnia with sleep apnea ,disorder,C0020530
60332004,Trichiasis ,disorder,C0221259
197983000,Orchitis and epididymitis ,disorder,C0149881
266607004,Perimenopausal disorder ,disorder,C0404559
282752000,Injury of eye region ,disorder,C0560619
298162008,Shoulder joint inflamed ,finding,C0574943
106004004,Hemorrhagic complication of pregnancy ,disorder,C0269596
11101003,Percutaneous transluminal coronary angioplasty ,procedure,C2936173
234646005,Graft-versus-host disease ,disorder,C0018133
268375009,Mantoux: negative ,finding,C0429910
387731002,Excision of lamina of vertebra ,procedure,C0022983
14448006,Swallowed foreign body ,disorder,C0520753
199616008,Large-for-dates fetus ,disorder,C0456091
307593001,Carcinomatosis ,disorder,C0205699
46177005,End-stage renal disease ,disorder,C0022661
108022006,Kidney excision ,procedure,C0027695
122480009,Hallux valgus ,disorder,C0018536
87065009,Dystrophia unguium ,disorder,C0221260
95668009,Pain in face ,finding,C0015468
15662003,Senile dementia ,disorder,C0011268
190389009,Type II diabetes mellitus with ulcer ,disorder,C0579066
445273005,Polysubstance abuse ,disorder,C0747752
5888003,Keratitis ,disorder,C0022568
108241001,Dialysis procedure ,procedure,C0011946
13370002,Plantar fascial fibromatosis ,disorder,C0158360
160377001,Family history: Asthma ,situation,C1261327
372054004,Abnormal glucose tolerance test during pregnancy - baby not yet delivered ,finding,C0404734
425671009,Neurogenic bowel ,disorder,C0695242
102876002,Multigravida ,finding,C0404831
116224001,Complication of procedure ,disorder,C0742724
160656007,Willing to be donor of kidney ,finding,C0425265
32911000,Homeless ,finding,C0237154
444808002,Benign localized hyperplasia of prostate ,disorder,C0878697
75543006,Cerebral embolism ,disorder,C0007780
89469000,Chronic duodenal ulcer with hemorrhage ,disorder,C0267267
4776004,Lichen planus ,disorder,C0023646
56925008,Abnormal sexual function ,finding,C0549622
7180009,Meningitis ,disorder,C0025289
93143009,"Leukemia, disease ",disorder,C0023418
239961006,Bursitis of shoulder ,disorder,C0262399
36485005,Restrictive lung disease ,disorder,C0085581
60728008,Swollen abdomen ,finding,C0000731
102616008,Painful mouth ,finding,C0221776
24596005,Venous retinal branch occlusion ,disorder,C0339505
31928004,Abscess of skin and/or subcutaneous tissue ,disorder,C0149777
53059001,Replacement of mitral valve ,procedure,C0026268
73152006,Administration of vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens ,procedure,C0419749
81256000,Anomaly of tooth position ,disorder,C0155940
128350005,Bacterial conjunctivitis ,disorder,C0009768
20021007,Displacement of lumbar intervertebral disc without myelopathy ,disorder,C0158255
363412000,Malignant tumor of ascending colon ,disorder,C0153439
413467001,Aftercare ,regime/therapy,C0001758
407560009,At risk of sexually transmitted infection ,finding,C1319898
443493003,Metastatic malignant melanoma ,disorder,C0860594
16269008,Neuralgia ,finding,C0027796
53277000,Vulvovaginitis ,disorder,C0042998
19242006,Pulmonary edema ,disorder,C0034063
63102001,Visual disturbance ,disorder,C0547030
20022000,Hemiparesis ,disorder,C0018989
268054009,Osteoarthritis of multiple joints ,disorder,C0559096
371082009,Arthritis of spine ,disorder,C0949690
44801007,Contusion of hip ,disorder,C0160950
198288003,Anxiety state ,finding,C0700613
46662001,Examination of breast ,procedure,C0199850
186194007,"Tuberculosis of lung, confirmed by culture only ",disorder,C0348810
281305005,Unwanted fertility ,finding,C0460098
371084005,Partially edentulous mandible ,disorder,C1299631
72779005,Anorectal fistula ,disorder,C0149889
128473001,Uveitis ,disorder,C0042164
225553008,Wound dehiscence ,disorder,C0259768
77493009,Fracture of pelvis ,disorder,C0149531
21801002,Menopausal symptom ,finding,C0236075
191811004,Continuous chronic alcoholism ,disorder,C0338785
191833002,Cocaine dependence in remission ,disorder,C0154487
195353004,Granulomatosis with polyangiitis ,disorder,C3495801
225323000,Smoking cessation education ,procedure,C1621885
282749008,Head and neck injury ,disorder,C0178671
429998004,Vascular dementia ,disorder,C0011269
76441001,"Severe major depression, single episode, without psychotic features ",disorder,C0154405
27342004,Anemia of pregnancy ,disorder,C0271930
302912005,Vocal cord palsy ,disorder,C0042928
399269003,Arthropathy ,disorder,C0022408
128608001,Cerebral arterial aneurysm ,disorder,C1290398
161512007,History of pulmonary embolus ,situation,C0455537
186659004,Herpangina ,disorder,C0019338
276177000,Thyroid eye disease ,disorder,C0339143
417373000,Inflammatory polyarthropathy ,disorder,C0162323
425810000,Mass of pancreas ,finding,C0877425
42984000,Night sweats ,finding,C0028081
48661000,Peritonitis ,disorder,C0031154
61170000,Stomatitis ,disorder,C0038362
161635002,History of asbestos exposure ,situation,C0375812
255024002,Nevus of choroid ,disorder,C0346392
60189009,Vitreous degeneration ,disorder,C0155366
102500002,Good neonatal condition at birth ,finding,C0578757
248596009,Sputum - symptom ,finding,C0425512
385752006,Infusion care education ,procedure,C1161016
68478007,Central retinal vein occlusion ,disorder,C0154841
9468002,Closed fracture of carpal bone ,disorder,C0009044
126949007,Acoustic neuroma ,disorder,C0027859
25501002,Social phobia ,disorder,C0031572
46621007,Atelectasis ,disorder,C0004144
54302000,Discharge from nipple ,disorder,C0149741
202856007,Biceps tendinitis ,disorder,C0151434
254666005,Keratosis ,disorder,C0022593
30242009,Scarlet fever ,disorder,C0036285
431309003,Acute urinary tract infection ,disorder,C0242147
64531003,Nasal discharge ,finding,C1260880
786496006,Idiopathic detrusor overactivity ,disorder,C1261562
80068009,Swelling of limb ,finding,C0158369
2910007,Discharge from penis ,finding,C0232861
37739004,Mood disorder due to a general medical condition ,disorder,C0236747
62106007,Concussion with no loss of consciousness ,disorder,C0160121
69031006,Excision of breast tissue ,procedure,C0191849
93199007,Malignant lymphoma of extranodal AND/OR solid organ site ,disorder,C0686557
191831000,"Cocaine dependence, continuous ",disorder,C0338762
22754005,Staphylococcal pneumonia ,disorder,C0032308
304831001,Chronic intracranial subdural hematoma ,disorder,C0582730
426867001,Anorectal disorder ,disorder,C0687707
447899008,Sepsis caused by Escherichia coli ,disorder,C3164258
57246001,Chronic gastric ulcer with hemorrhage ,disorder,C0267127
78622004,Galactorrhea not associated with childbirth ,disorder,C0235660
191265009,Anemia in neoplastic disease ,disorder,C0475534
209565008,Lumbar sprain ,disorder,C0160108
26947005,Open wound of lower limb ,disorder,C0178323
298169004,Hip joint inflamed ,finding,C0574950
29827000,Excision of bilateral fallopian tubes and ovaries ,procedure,C0195495
3199001,Sprain of shoulder ,disorder,C0272869
3289004,Anisometropia ,disorder,C0003081
48835001,Esophagogastric fundoplasty ,procedure,C0192499
1023001,Apnea ,finding,C0003578
194990000,"Tricuspid incompetence, non-rheumatic ",disorder,C0340389
229733002,Expressive language disorder ,disorder,C0236826
236071009,Chronic diarrhea ,disorder,C0401151
285836003,Cervical intraepithelial neoplasia grade 1 ,disorder,C0349458
399014008,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens ,procedure,C1302169
66108005,"Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated ",disorder,C0236640
75732000,Vitrectomy ,procedure,C0042903
186738001,Epidemic vertigo ,disorder,C0751908
250423000,Pregnancy test positive ,finding,C0240802
443820000,Disorder of kidney and/or ureter ,disorder,C1971734
48340000,Incontinence ,finding,C0021167
73244003,Closed fracture of surgical neck of humerus ,disorder,C0159680
75375008,Inflammation of intestine caused by bacteria ,disorder,C0152516
25415003,Closed fracture of femur ,disorder,C0272729
85007004,Meralgia paresthetica ,disorder,C0152110
171222001,Hypertension screening ,procedure,C0740221
60656008,Corneal transplant ,procedure,C0010042
91514001,Corneal ulcer ,disorder,C0010043
125670008,Foreign body ,disorder,C0016542
166717003,Serum creatinine raised ,finding,C0700225
174776001,Total splenectomy ,procedure,C0337385
302227002,Ecchymosis ,finding,C0013491
35607004,Panic disorder with agoraphobia ,disorder,C0236800
86765009,Mild intellectual disability ,disorder,C0026106
19527009,Single episode of major depression in full remission ,disorder,C0270470
249625002,Feces contents abnormal ,finding,C0476346
307279007,Prosthetic replacement of heart valve ,procedure,C0190163
386138005,Stented coronary artery ,finding,C1272587
41582007,Streptococcal tonsillitis ,disorder,C0275804
444638005,Screening for malignant neoplasm of skin ,procedure,C2919584
55929007,Feeling irritable ,finding,C0022107
119423009,Benign teratoma of ovary ,disorder,C0346186
162042000,Abdominal wall pain ,finding,C0581869
187727005,Malignant tumor of lower third of esophagus ,disorder,C0153415
188154003,Malignant neoplasm of upper-outer quadrant of female breast ,disorder,C0153552
197441003,Primary sclerosing cholangitis ,disorder,C0566602
363510005,Malignant tumor of large intestine ,disorder,C0346629
386333005,Infant care ,regime/therapy,C0021272
6234006,Second degree perineal laceration ,disorder,C0269870
838283002,Cellulitis and abscess of hand ,disorder,C0406079
128210009,Thoracic outlet syndrome ,disorder,C0039984
207957008,Closed fracture lumbar vertebra ,disorder,C0159553
312399001,Thyroid function tests abnormal ,finding,C0476414
64665009,Closed fracture of calcaneus ,disorder,C0159888
78004001,Bulimia nervosa ,disorder,C2267227
8098009,Sexually transmitted infectious disease ,disorder,C0036916
127279002,Injury of lower limb ,disorder,C0023220
23513009,Herpesvirus infection ,disorder,C0019372
23968004,Excision of colon ,procedure,C0009274
274137005,Lumbar disc lesion ,disorder,C0549374
426931009,Administration of prophylactic antibiotic for subacute bacterial endocarditis ,procedure,C0038519
81302005,Worried well ,finding,C0233403
15033003,Peritonsillar abscess ,disorder,C0031157
165746003,RhD negative ,finding,C4551754
19620000,Rhegmatogenous retinal detachment ,disorder,C0271055
21117005,Conjunctival hemorrhage ,disorder,C0009760
26237000,Ankle edema ,finding,C0235439
27405005,Central sleep apnea syndrome ,disorder,C3887547
274625009,Delayed milestone ,finding,C0476241
78420004,Inflammation of intestine caused by virus ,disorder,C0042708
82576008,Retained foreign body in eye ,disorder,C0015401
161505003,History of heart failure ,situation,C0455531
191268006,Chronic anemia ,disorder,C0581384
197268000,Acute and subacute liver necrosis ,disorder,C0001308
23374007,Atypical absence seizure ,finding,C0595948
249166003,Failure to progress in second stage of labor ,finding,C0474481
300980002,Normocytic anemia ,disorder,C0085577
82985000,Hemorrhoids without complication ,disorder,C0041844
275104002,Family history of stroke ,situation,C1261367
363429002,Malignant tumor of larynx ,disorder,C0007107
190905008,Cystic fibrosis ,disorder,C0010674
238751002,Perioral dermatitis ,disorder,C0263449
416956002,Undifferentiated inflammatory polyarthritis ,disorder,C1692872
42636007,Closed fracture of upper end of humerus ,disorder,C0159678
4800001,Pyuria ,finding,C0034359
57920007,Herpetic gingivostomatitis ,disorder,C0376379
36202009,Fracture of tooth ,disorder,C0040441
398036000,Familial hypercholesterolemia ,disorder,C0020445
426033005,Dysphagia as a late effect of cerebrovascular accident ,disorder,C1960040
429025008,History of calculus of kidney ,situation,C1998388
4473006,Migraine with aura ,disorder,C0154723
49765009,Hyperpigmentation of skin ,disorder,C0162834
50438001,Peripheral vertigo ,disorder,C0155501
92384009,Benign neoplasm of skin ,disorder,C0004998
278862001,Acute low back pain ,finding,C0457950
429430001,Diverticulosis of sigmoid colon ,finding,C0012818
157176002,Fracture of bone of face ,disorder,C0159321
177184002,Normal delivery procedure ,procedure,C0269694
183651009,Chemotherapy follow-up ,procedure,C0260835
189484008,Neoplasm of uncertain behavior of brain and/or spinal cord ,disorder,C0154119
200645004,Cellulitis and abscess of face ,disorder,C0157696
218130004,"Accident caused by hot liquid and vapor, including steam ",event,C0261737
263152008,Fracture of multiple bones of face ,disorder,C0435318
38996000,External hemorrhoids without complication ,disorder,C0265041
429255009,History of papillary adenocarcinoma of thyroid ,situation,C1997548
431109006,Carrier of vancomycin resistant enterococcus ,finding,C2317516
442073005,Infection caused by methicillin susceptible Staphylococcus aureus ,disorder,C2367273
442246002,Disorder of joint of ankle and/or foot ,disorder,C0409204
5902003,"History and physical examination, complete ",procedure,C0199189
772143002,Obstruction co-occurrent and due to left inguinal hernia ,disorder,C4750327
772144008,Obstruction co-occurrent and due to right inguinal hernia ,disorder,C4750328
165850001,Anti-nuclear factor positive ,finding,C0151480
5602001,Opioid abuse ,disorder,C0029095
65636009,Keratoconus ,disorder,C0022578
67801009,Tenosynovitis ,disorder,C0039520
79604008,Disorder of breast ,disorder,C0006145
85502002,Bilateral inguinal hernia ,disorder,C0267672
17709002,Bleeding esophageal varices ,disorder,C0155789
268552003,Hyperlipidemia screening ,procedure,C0474237
3548001,Brachial plexus disorder ,disorder,C0700251
415077006,Personal history of primary malignant neoplasm of bronchus ,situation,C1387400
210566005,Open wound of hand with tendon involvement ,disorder,C0434302
26681001,Endometriosis of pelvis ,disorder,C0241880
68168001,Marital counseling ,procedure,C0024820
92359006,Benign neoplasm of skin of face ,disorder,C0347365
277357006,Sputum retention ,finding,C0456673
289572007,No liquor observed vaginally ,finding,C0566991
310496002,Moderate depression ,disorder,C0588007
39406005,Legally induced abortion ,disorder,C1456876
419603000,Epidermoid cyst of skin ,disorder,C0014511
56882008,Anorexia nervosa ,disorder,C0003125
18941000,Oppositional defiant disorder ,disorder,C0029121
23900009,Closed fracture of upper end of tibia ,disorder,C0159854
33647009,Anatomical narrow angle glaucoma ,disorder,C0154947
36209000,Chloasma ,disorder,C0025218
44865000,Secondary polycythemia ,disorder,C1318533
88312006,Amputation of leg through tibia and fibula ,procedure,C0002692
89461002,Primary cardiomyopathy ,disorder,C0033141
92818009,"Chronic myeloid leukemia, disease ",disorder,C0023473
15802004,Dystonia ,disorder,C0393593
203476003,Avascular necrosis of the head of femur ,disorder,C0410480
229721007,Speech delay ,disorder,C0241210
48210000,Lumbosacral spondylosis without myelopathy ,disorder,C0158244
71620000,Fracture of femur ,disorder,C0015802
249944006,Monoparesis - arm ,disorder,C0751409
300332007,Liver mass ,finding,C0240225
413877007,Closed fracture of tibia AND fibula ,disorder,C0272759
4506002,Educational problem ,finding,C0337616
59566000,Oligohydramnios ,disorder,C0079924
67315001,Degenerative joint disease of shoulder region ,disorder,C0409939
81000006,Pediculosis capitis ,disorder,C0030757
187723009,Malignant tumor of thoracic part of esophagus ,disorder,C0153411
206200000,Cephalhematoma due to birth trauma ,disorder,C0007722
41339005,Coronary angioplasty ,procedure,C0190211
82971005,Impaired mobility ,finding,C0518456
10050004,Contusion of chest ,disorder,C0160925
24526004,Inflammatory bowel disease ,disorder,C0021390
81576005,Closed fracture of phalanx of foot ,disorder,C0578705
15013002,Vitreous floaters ,disorder,C0016242
237067000,Chronic pain in female pelvis ,finding,C0404484
28432003,Abscess of breast ,disorder,C0151463
766834007,Secondary cataract ,disorder,C1306068
95655001,Ophthalmic migraine ,disorder,C0338481
263251009,Metatarsal bone fracture ,disorder,C0435943
393563007,Glioblastoma multiforme ,disorder,C1621958
410091003,Ostomy care education ,procedure,C1444235
86466006,Rheumatic mitral stenosis ,disorder,C0264766
87132004,Opioid withdrawal ,disorder,C0029104
89538001,Helicobacter-associated gastritis ,disorder,C0343378
16356006,Multiple pregnancy ,disorder,C0032989
186182003,Tuberculosis of pleura ,disorder,C0041326
189445003,Light-for-dates without fetal malnutrition ,disorder,C1313876
195662009,Acute viral pharyngitis ,disorder,C0396000
397549002,Meibomian gland dysfunction ,disorder,C1275684
5050001,Senile angioma ,disorder,C0343082
64117007,Vitamin B12 deficiency ,non anemic,C0268679
70747007,"Major depression single episode, in partial remission ",disorder,C0236763
76795007,Acute type B viral hepatitis ,disorder,C0276609
89138009,Cardiogenic shock ,disorder,C0036980
270492004,First degree atrioventricular block ,disorder,C0085614
72047008,Juvenile osteochondrosis of tibial tubercle ,disorder,C0029376
81639003,Closed fracture of nasal bones ,disorder,C0159322
204878001,Undescended testicle ,disorder,C0010417
363505006,Malignant tumor of oral cavity ,disorder,C0153381
95690009,Retinal tear ,disorder,C0035321
196125002,Diffuse interstitial pulmonary fibrosis ,disorder,C0085786
36969009,Placement of stent in coronary artery ,procedure,C0521232
53084003,Bacterial pneumonia ,disorder,C0004626
70936005,"Multi-infarct dementia, uncomplicated ",disorder,C0236650
91669008,Perirectal abscess ,disorder,C0267566
202664003,Cervical myelopathy ,disorder,C0149645
285838002,Cervical intraepithelial neoplasia grade 2 ,disorder,C0349459
302838006,Dermal cellular nevus ,disorder,C0206737
363350007,Malignant tumor of cecum ,disorder,C0153437
443487006,Mantle cell lymphoma ,disorder,C4721414
703630003,Red eye ,finding,C0235267
175905003,Total nephrectomy ,procedure,C0176996
195190007,Cerebral infarction due to embolism of cerebral arteries ,disorder,C0451675
22125009,Panniculitis ,disorder,C0030326
247471006,Maculopapular eruption ,disorder,C0423791
300956001,Low back strain ,disorder,C0262541
310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus ,disorder,C4759705
407669000,Magnetic resonance imaging of brain abnormal ,finding,C1319851
408643008,Infiltrating duct carcinoma of breast ,disorder,C1134719
425983008,Autologous peripheral blood stem cell transplant ,procedure,C1960579
441704009,Affective psychosis ,disorder,C0001723
5148006,Hypertensive heart disease with congestive heart failure ,disorder,C0264650
713514005,Muscle weakness of limb ,finding,C0587246
782594005,Allergy to soy protein ,finding,C4758660
860918004,Erectile dysfunction due to psychophysiologic disorder ,disorder,C5396000
24010005,Aphakia ,disorder,C0003534
53286005,Medial epicondylitis of elbow joint ,disorder,C0158309
11437003,Contusion of back ,disorder,C0160927
125652005,Open wound of hand ,disorder,C0558407
3545003,Diastolic dysfunction ,finding,C0520863
415081006,Personal history of primary malignant neoplasm of kidney ,situation,C1387408
89105000,Asteatosis cutis ,disorder,C0263465
94579000,Secondary malignant neoplasm of skin ,disorder,C0153687
102947004,High risk sexual behavior ,finding,C1261242
161622006,History of lower limb amputation ,situation,C0455616
262525000,Chest injury ,disorder,C0039980
275334004,Shoulder strain ,disorder,C0555315
312912001,Macular edema due to diabetes mellitus ,disorder,C0730285
432504007,Cerebral infarction ,disorder,C0007785
4969004,Sinus headache ,finding,C0037195
49883006,Candidiasis of skin ,disorder,C0006846
1705000,Closed fracture of base of neck of femur ,disorder,C0159814
249945007,Monoparesis of lower limb ,disorder,C0427068
267374005,Toxic diffuse goiter ,disorder,C0342122
274120003,Thyroid disease in pregnancy ,disorder,C0558372
28845006,Acute appendicitis with generalized peritonitis ,disorder,C0156092
31085000,Rheumatic mitral regurgitation ,disorder,C0155563
35222003,Chronic neurogenic ulcer of lower limb ,disorder,C0406524
425957003,Non-traumatic intracerebral ventricular hemorrhage ,disorder,C1960868
60689008,Home care of patient ,regime/therapy,C0204977
78895009,Congenital pneumonia ,disorder,C0158935
200938002,Discoid lupus erythematosus ,disorder,C5574816
64779008,Blood coagulation disorder ,disorder,C0005779
19133005,Neurofibromatosis syndrome ,disorder,C0162678
22066006,Strabismus ,disorder,C0038379
11538006,Quadriplegia ,disorder,C0034372
108365000,Infection of skin ,disorder,C0037278
191839003,Cannabis dependence in remission ,disorder,C0154490
200652002,Cellulitis of face ,disorder,C0263136
371036001,Postsurgical menopause ,disorder,C0740421
372138000,Carcinoma of esophagus ,disorder,C0152018
397932003,Talipes equinovarus ,disorder,C0009081
201040000,Callosity ,disorder,C0376154
202490009,Ankle joint pain ,finding,C0238656
20376005,Benign neoplastic disease ,disorder,C0086692
240131006,Rhabdomyolysis ,disorder,C0035410
36813001,Placenta previa ,disorder,C0032046
384642005,Mitral valvuloplasty ,procedure,C0396879
418285008,Angioplasty of blood vessel ,procedure,C0162577
43364001,Abdominal discomfort ,finding,C0232487
441574008,Atherosclerosis of artery ,disorder,C2711237
445009001,Azotemia ,disorder,C0242528
62438007,Transplantation of pancreas ,procedure,C0030275
94297009,Secondary malignant neoplasm of female breast ,disorder,C0346993
1148567001,Poisoning caused by sedative ,disorder,C5546519
1157257000,Poisoning by hypnotic agent ,disorder,C5548498
64479007,Pneumonia caused by Klebsiella pneumoniae ,disorder,C0519030
109994006,Essential thrombocythemia ,disorder,C0040028
233916004,Heart block ,disorder,C0018794
281599007,Sprain of ligament of lower limb ,disorder,C0559493
300004007,Screening for osteoporosis ,procedure,C0576743
234349007,Microcytic anemia ,disorder,C5194182
34043003,Dental consultation and report ,procedure,C0204126
426656000,Severe persistent asthma ,disorder,C1960048
433234005,Hyperplasia of prostate ,disorder,C2937421
46742003,Skin ulcer ,disorder,C0037299
60423000,Sinus node dysfunction ,disorder,C0428908
75857000,Fracture of radius AND ulna ,disorder,C0159710
87414006,Reactive depression ,situational,C0011579
111551000,Testicular hypofunction ,disorder,C0271622
232209000,Nasal obstruction ,disorder,C0027429
232721002,Coronary artery bypass grafts x 3 ,procedure,C0396777
284532000,Myringotomy and insertion of tympanic ventilation tube ,procedure,C1970955
92380000,Benign neoplasm of skin of trunk ,disorder,C0573993
195080001,Atrial fibrillation and flutter ,disorder,C0155709
200655000,Cellulitis and abscess of trunk ,disorder,C0157698
24662006,Influenza caused by Influenza B virus ,disorder,C0276353
271825005,Respiratory distress ,finding,C0476273
293331003,Anticoagulant adverse reaction ,disorder,C0413671
310243009,Nutritional assessment ,procedure,C0028708
87199005,Lead screening ,procedure,C1327695
95192000,Nodular lymphoma of lymph nodes of multiple sites ,disorder,C0153801
39621005,Disorder of gallbladder ,disorder,C0016977
236407003,Immunoglobulin A nephropathy ,disorder,C0017661
398740003,Colostomy ,procedure,C0009410
429484003,History of malignant neoplasm of cervix ,situation,C1997347
6077001,Foot-drop ,finding,C0085684
76783007,Chronic hepatitis ,disorder,C0019189
166318006,Blood chemistry abnormal ,finding,C0438258
173977007,Creation of ileostomy ,procedure,C0020883
367391008,Malaise ,finding,C0231218
3696007,Nonulcer dyspepsia ,disorder,C0267167
45261009,Viral conjunctivitis ,disorder,C0009774
55260003,Calcaneal spur ,finding,C0158322
59848001,Obstructive hyperbilirubinemia ,disorder,C0022354
200936003,Lupus erythematosus ,disorder,C0409974
231824001,Benign tumor of eyelid ,disorder,C0339107
274172008,Laceration of finger ,disorder,C0432981
312904009,Moderate nonproliferative retinopathy due to diabetes mellitus ,disorder,C0730277
363419009,Malignant tumor of head of pancreas ,disorder,C0153458
37605006,Senile osteopenia ,disorder,C0271864
408335007,Autoimmune hepatitis ,disorder,C4721555
431855005,Chronic kidney disease stage 1 ,disorder,C2316401
444620007,Male urinary stress incontinence ,finding,C2919577
169696001,Rubella status not known ,finding,C0420968
271757001,Papular eruption ,disorder,C1519353
276610007,Low birth weight infant ,disorder,C0021288
386230005,Case management ,procedure,C0085971
94805002,Neoplasm of uncertain behavior of soft tissues ,disorder,C0154125
266434009,Esophageal dysmotility ,disorder,C0014858
28293008,Hereditary factor VIII deficiency disease ,disorder,C0019069
423590009,Clostridium difficile colitis ,disorder,C0238106
85057007,Cyst of liver ,disorder,C0267834
109983007,Monoclonal gammopathy ,disorder,C1136085
128123007,Disorder of peripheral autonomic nervous system ,disorder,C0750944
134209002,Prolactinoma ,disorder,C0033375
1855002,Developmental academic disorder ,disorder,C1330966
237785004,Hypoadrenalism ,disorder,C0001623
32022003,Degenerative progressive high myopia ,disorder,C0154778
43982006,Solar degeneration ,disorder,C0263415
786457000,Overactive bladder ,disorder,C0878773
786460007,Detrusor overactivity ,disorder,C0268849
118608000,"Hodgkin's disease, nodular sclerosis ",disorder,C0152268
160357008,Family history: Hypertension ,situation,C0455405
169826009,Single live birth ,finding,C0481457
263196008,Fracture of radial head ,disorder,C0435577
276613009,High birth weight ,disorder,C0349482
385904005,Removal of ear wax ,procedure,C0352068
66951008,Carotid endarterectomy ,procedure,C0014099
70218004,Displacement of intervertebral disc without myelopathy ,disorder,C1328971
76844004,Local infection of wound ,disorder,C0043241
79586000,Tubal pregnancy ,disorder,C0032994
105969002,Disorder of connective tissue ,disorder,C0009782
1197062001,Perinatal disorder of fetus and/or early neonate due to placenta previa ,disorder,C5686152
241748001,Poisoning caused by analgesic drug ,disorder,C0412849
270498000,Malposition and malpresentation of fetus ,disorder,C0156924
318316003,Vernal conjunctivitis ,disorder,C0009773
410290005,"Family planning education, guidance, and counseling ",procedure,C1629017
51036000,Acute appendicitis with peritoneal abscess ,disorder,C0156093
6836001,Injury of brachial plexus ,disorder,C0161446
386789004,Eosinophil count raised ,finding,C2240374
416010008,Hypospadias ,disorder,C0848558
432119003,Aneurysm ,disorder,C0002940
62837005,Cellulitis of hand ,disorder,C0007646
697898008,Idiopathic pulmonary arterial hypertension ,disorder,C3203102
20018005,Occlusion of ureter ,disorder,C0041956
278516003,Lobar pneumonia ,disorder,C0032300
361123003,Psychomotor epilepsy ,disorder,C0085417
39871006,Chronic respiratory failure ,disorder,C0264492
425333006,Myeloproliferative disorder ,disorder,C0027022
54823002,Subclinical hypothyroidism ,disorder,C0271790
56689002,Crohn's disease of small intestine ,disorder,C0156146
68254000,Removal of intrauterine device ,procedure,C0204786
91856007,Acute lymphoid leukemia in remission ,disorder,C0153876
44558001,Repair of inguinal hernia ,procedure,C0021446
160617001,Stopped smoking ,finding,C0425310
192999003,Partial epilepsy with impairment of consciousness ,disorder,C0553587
204272007,Preauricular fistula ,disorder,C0546969
