Word,POS,IOB,Tag
her,PRP$,O,B-PROBLEM
pain,NN,B-NP,I-PROBLEM
some,DT,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
left,JJ,B-NP,I-PROBLEM
calf,NN,I-NP,I-PROBLEM
lesion,NN,I-NP,I-PROBLEM
evidence,NN,I-NP,B-PROBLEM
splenomegaly,NN,B-NP,B-PROBLEM
hepatomegaly,NN,B-NP,B-PROBLEM
The,DT,O,B-PROBLEM
1,CD,O,I-PROBLEM
cm,NN,B-NP,I-PROBLEM
cyst,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
cyst,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
kidney,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
stone,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
cyst,NN,I-NP,I-PROBLEM
peripheral,JJ,B-NP,B-PROBLEM
vascular,JJ,I-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
increased,JJ,B-NP,B-PROBLEM
rest,NN,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
Her,PRP$,O,B-PROBLEM
pain,NN,B-NP,I-PROBLEM
minimally,RB,O,B-PROBLEM
ambulatory,JJ,O,I-PROBLEM
a,DT,B-NP,B-PROBLEM
non-healing,JJ,I-NP,I-PROBLEM
right,NN,I-NP,I-PROBLEM
dorsal,NN,I-NP,I-PROBLEM
foot,NN,I-NP,I-PROBLEM
ulcer,NN,I-NP,I-PROBLEM
increasing,VBG,O,B-PROBLEM
in,IN,B-VP,I-PROBLEM
size,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
pin,NN,I-NP,I-PROBLEM
hole,NN,I-NP,I-PROBLEM
any,DT,B-NP,B-PROBLEM
trauma,NN,I-NP,I-PROBLEM
similar,JJ,B-NP,B-PROBLEM
small,JJ,I-NP,I-PROBLEM
ulcers,NNS,I-NP,I-PROBLEM
The,DT,B-NP,B-PROBLEM
ulcer,NN,I-NP,I-PROBLEM
poor,JJ,B-NP,B-PROBLEM
distal,JJ,I-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
extremity,NN,I-NP,I-PROBLEM
perfusion,NN,I-NP,I-PROBLEM
fevers,NNS,I-NP,B-PROBLEM
chills,NNS,B-NP,B-PROBLEM
rest,VBN,O,B-PROBLEM
pain,NN,B-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
foot,NN,I-NP,I-PROBLEM
and,CC,O,I-PROBLEM
ankle,NN,B-NP,I-PROBLEM
afebrile,RB,O,B-PROBLEM
some,DT,O,B-PROBLEM
swelling,VBG,O,I-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
left,JJ,B-NP,I-PROBLEM
lower,JJR,I-NP,I-PROBLEM
extremity,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
hematoma,NN,I-NP,I-PROBLEM
surrounding,VBG,O,B-PROBLEM
erythema,NN,B-NP,I-PROBLEM
erythema,NN,B-NP,B-PROBLEM
on,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
left,JJ,B-NP,I-PROBLEM
leg,NN,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
erythema,NN,B-NP,I-PROBLEM
wounds,NNS,B-NP,B-PROBLEM
afebrile,JJ,O,B-PROBLEM
metastatic,JJ,B-NP,B-PROBLEM
cervical,JJ,I-NP,I-PROBLEM
cancer,NN,I-NP,I-PROBLEM
malignant,JJ,B-NP,B-PROBLEM
pericardial,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
a,DT,O,B-PROBLEM
4x3.6x2,CD,O,I-PROBLEM
cm,NN,B-NP,I-PROBLEM
cervical,JJ,B-NP,I-PROBLEM
mass,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
fibroid,NN,I-NP,I-PROBLEM
poorly,RB,O,B-PROBLEM
differentiated,VBN,O,I-PROBLEM
squamous,JJ,B-NP,I-PROBLEM
cell,NN,I-NP,I-PROBLEM
carcinoma,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
cervix,NN,I-NP,I-PROBLEM
metastatic,JJ,B-NP,B-PROBLEM
squamous,JJ,I-NP,I-PROBLEM
cell,NN,I-NP,I-PROBLEM
carcinoma,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
cardinal,JJ,I-NP,I-PROBLEM
ligaments,NNS,I-NP,I-PROBLEM
extensive,JJ,B-NP,B-PROBLEM
lymphatic,JJ,I-NP,I-PROBLEM
invasion,NN,I-NP,I-PROBLEM
stage,NN,B-NP,B-PROBLEM
2B,CD,O,I-PROBLEM
disease,NN,B-NP,I-PROBLEM
bilateral,JJ,B-NP,B-PROBLEM
cystic,JJ,I-NP,I-PROBLEM
adnexal,NN,I-NP,I-PROBLEM
masses,NNS,I-NP,I-PROBLEM
tumor,NN,B-NP,B-PROBLEM
peritubal,NNS,B-NP,B-PROBLEM
and,CC,O,I-PROBLEM
periovarian,JJ,B-NP,I-PROBLEM
adhesions,NNS,I-NP,I-PROBLEM
shortness,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
dry,JJ,I-NP,I-PROBLEM
non-productive,JJ,I-NP,I-PROBLEM
cough,NN,I-NP,I-PROBLEM
wheezing,VBG,O,B-PROBLEM
asthma,NN,I-NP,B-PROBLEM
sinus,JJ,B-NP,B-PROBLEM
tachycardia,NN,I-NP,I-PROBLEM
pericardial,JJ,B-NP,B-PROBLEM
effusion,NN,I-NP,I-PROBLEM
a,DT,O,B-PROBLEM
10,CD,O,I-PROBLEM
mm,NN,B-NP,I-PROBLEM
pulsus,NN,I-NP,I-PROBLEM
paradoxus,NN,I-NP,I-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
cervical,JJ,B-NP,B-PROBLEM
cancer,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
pericardial,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
malignant,JJ,O,B-PROBLEM
a,DT,B-NP,B-PROBLEM
new,JJ,I-NP,I-PROBLEM
pericardial,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
metastatic,JJ,B-NP,B-PROBLEM
cervical,JJ,I-NP,I-PROBLEM
cancer,NN,I-NP,I-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
moderate,JJ,B-NP,B-PROBLEM
anterior,JJ,I-NP,I-PROBLEM
pericardial,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
diastolic,JJ,B-NP,B-PROBLEM
indications,NNS,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
ventricle,NN,I-NP,I-PROBLEM
low,JJ,B-NP,B-PROBLEM
velocity,NN,I-NP,I-PROBLEM
paradox,NN,I-NP,I-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
pulmonary,JJ,B-NP,B-PROBLEM
wheezing,NN,I-NP,I-PROBLEM
asthma,NN,B-NP,B-PROBLEM
a,DT,B-NP,B-PROBLEM
malignant,JJ,I-NP,I-PROBLEM
lymphangitic,JJ,I-NP,I-PROBLEM
spread,NN,I-NP,I-PROBLEM
pericardial,JJ,B-NP,B-PROBLEM
involvement,NN,I-NP,I-PROBLEM
infectious,JJ,O,B-PROBLEM
other,JJ,B-NP,B-PROBLEM
cardiovascular,JJ,I-NP,I-PROBLEM
causes,NNS,I-NP,I-PROBLEM
viral,JJ,B-NP,B-PROBLEM
bronchiolitis,NN,I-NP,I-PROBLEM
fairly,RB,O,B-PROBLEM
significant,JJ,B-NP,I-PROBLEM
AA,NNP,I-NP,I-PROBLEM
gradient,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
new,JJ,I-NP,I-PROBLEM
junctional,JJ,I-NP,I-PROBLEM
rhythm,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
new,JJ,I-NP,I-PROBLEM
rub,NN,I-NP,I-PROBLEM
murmur,NN,I-NP,B-PROBLEM
a,DT,B-NP,B-PROBLEM
rub,NN,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
ectopic,NN,I-NP,I-PROBLEM
low,JJ,B-NP,I-PROBLEM
atrial,JJ,I-NP,I-PROBLEM
P,NNP,I-NP,I-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
the,DT,B-NP,B-PROBLEM
upper,JJ,I-NP,I-PROBLEM
limits,NNS,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
normal,JJ,O,I-PROBLEM
for,IN,B-VP,I-PROBLEM
size,NN,B-NP,I-PROBLEM
low,JJ,B-NP,B-PROBLEM
normal,JJ,I-NP,I-PROBLEM
function,NN,I-NP,I-PROBLEM
moderate,VB,O,B-PROBLEM
to,TO,O,I-PROBLEM
mild,VB,O,I-PROBLEM
effusion,NN,B-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
effusion,NN,I-NP,I-PROBLEM
lymphangitic,JJ,B-NP,B-PROBLEM
spread,NN,I-NP,I-PROBLEM
cancer,NN,B-NP,B-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
chest,NN,I-NP,I-PROBLEM
pulmonary,JJ,B-NP,B-PROBLEM
nodules,NNS,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
chest,NN,I-NP,I-PROBLEM
pericardial,JJ,B-NP,B-PROBLEM
effusion,NN,I-NP,I-PROBLEM
multiple,JJ,B-NP,B-PROBLEM
liver,NN,I-NP,I-PROBLEM
metastases,NNS,I-NP,I-PROBLEM
decreased,VBN,O,B-PROBLEM
function,NN,B-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
left,NN,I-NP,I-PROBLEM
kidney,NN,I-NP,I-PROBLEM
dilated,VBN,O,B-PROBLEM
left,VBD,B-VP,I-PROBLEM
intrarenal,JJ,B-NP,I-PROBLEM
collecting,NN,I-NP,I-PROBLEM
system,NN,I-NP,I-PROBLEM
and,CC,O,I-PROBLEM
proximal,JJ,B-NP,I-PROBLEM
ureter,NN,I-NP,I-PROBLEM
periaortic,JJ,B-NP,B-PROBLEM
lymphadenopathy,NN,I-NP,I-PROBLEM
lymphangitic,JJ,B-NP,B-PROBLEM
spread,NN,I-NP,I-PROBLEM
metastatic,JJ,B-NP,B-PROBLEM
cervical,JJ,I-NP,I-PROBLEM
cancer,NN,I-NP,I-PROBLEM
numerous,JJ,B-NP,B-PROBLEM
erythematous,JJ,I-NP,I-PROBLEM
maculopapules,NNS,I-NP,I-PROBLEM
on,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
back,NN,B-NP,I-PROBLEM
steroid,JJ,I-NP,B-PROBLEM
acne,NN,I-NP,I-PROBLEM
The,DT,B-NP,B-PROBLEM
patient,NN,I-NP,I-PROBLEM
&apos;s,NNP,I-NP,I-PROBLEM
shortness,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
wheezing,VBG,O,B-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
tamponade,NN,B-NP,B-PROBLEM
some,DT,B-NP,B-PROBLEM
mental,JJ,I-NP,I-PROBLEM
status,NN,I-NP,I-PROBLEM
changes,NNS,I-NP,I-PROBLEM
confusion,NN,B-NP,B-PROBLEM
hallucinations,NNS,B-NP,B-PROBLEM
decreased,VBD,B-VP,B-PROBLEM
pO2,NN,B-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
mental,JJ,I-NP,I-PROBLEM
status,NN,I-NP,I-PROBLEM
changes,NNS,I-NP,I-PROBLEM
further,JJ,I-NP,B-PROBLEM
hallucinations,NNS,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
new,JJ,B-NP,I-PROBLEM
diagnosis,NN,I-NP,I-PROBLEM
symptoms,NNS,B-NP,B-PROBLEM
anxiety,NN,B-NP,B-PROBLEM
her,PRP$,O,B-PROBLEM
shortness,NN,B-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
end,NN,B-NP,B-PROBLEM
stage,NN,I-NP,I-PROBLEM
renal,JJ,B-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
polycystic,JJ,B-NP,B-PROBLEM
kidneydisease,NN,I-NP,I-PROBLEM
rupture,VB,O,B-PROBLEM
difficult,JJ,B-NP,B-PROBLEM
access,NN,I-NP,I-PROBLEM
problems,NNS,I-NP,I-PROBLEM
this,DT,B-NP,B-PROBLEM
difficult,JJ,I-NP,I-PROBLEM
access,NN,I-NP,I-PROBLEM
problem,NN,I-NP,I-PROBLEM
type,NN,B-NP,B-PROBLEM
I,PRP,O,I-PROBLEM
renal,VBP,O,I-PROBLEM
tubular,JJ,B-NP,I-PROBLEM
acidosis,NN,I-NP,I-PROBLEM
nephrocalcinosis,NN,B-NP,B-PROBLEM
chills,NNS,B-NP,B-PROBLEM
fevers,NNS,B-NP,B-PROBLEM
cough,NN,B-NP,B-PROBLEM
vomiting,VBG,O,B-PROBLEM
weakness,NN,B-NP,B-PROBLEM
unable,JJ,O,B-PROBLEM
to,TO,O,I-PROBLEM
walk,VB,O,I-PROBLEM
chicken,VBN,O,B-PROBLEM
pox,JJ,B-NP,I-PROBLEM
lesions,NNS,I-NP,I-PROBLEM
on,IN,B-VP,I-PROBLEM
thorax,NN,B-NP,I-PROBLEM
sunken,JJ,B-NP,B-PROBLEM
eyes,NNS,I-NP,I-PROBLEM
thick,JJ,B-NP,B-PROBLEM
nasal,NN,I-NP,I-PROBLEM
discharge,NN,I-NP,I-PROBLEM
dry,JJ,B-NP,B-PROBLEM
lips,NNS,I-NP,I-PROBLEM
",",",",O,I-PROBLEM
tongue,NN,B-NP,I-PROBLEM
and,CC,O,I-PROBLEM
mucous,JJ,B-NP,I-PROBLEM
membranes,NNS,I-NP,I-PROBLEM
red,JJ,B-NP,B-PROBLEM
tonsils,NNS,I-NP,I-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
dehydration,NN,B-NP,B-PROBLEM
hypokalemia,NN,B-NP,B-PROBLEM
hyponatremia,NN,B-NP,B-PROBLEM
tonsillitis,NN,B-NP,B-PROBLEM
respiratory,NN,I-NP,B-PROBLEM
distress,NN,I-NP,I-PROBLEM
Oral,JJ,B-NP,B-PROBLEM
cyanosis,NN,I-NP,I-PROBLEM
shallow,JJ,B-NP,B-PROBLEM
respirations,NNS,I-NP,I-PROBLEM
significant,JJ,B-NP,B-PROBLEM
hypertension,NN,I-NP,I-PROBLEM
abnormal,JJ,I-NP,B-PROBLEM
findings,NNS,I-NP,I-PROBLEM
Copious,JJ,B-NP,B-PROBLEM
urine,JJ,I-NP,I-PROBLEM
output,NN,I-NP,I-PROBLEM
lethargic,VBZ,O,B-PROBLEM
unresponsive,JJ,O,B-PROBLEM
areflexic,JJ,O,B-PROBLEM
limp,NN,B-NP,B-PROBLEM
seizures,NNS,B-NP,B-PROBLEM
twitching,VBG,O,B-PROBLEM
of,IN,B-VP,I-PROBLEM
face,NN,B-NP,I-PROBLEM
rapid,JJ,B-NP,B-PROBLEM
movements,NNS,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
eyes,NNS,B-NP,I-PROBLEM
Pupils,NNP,B-NP,B-PROBLEM
dilated,VBD,B-VP,I-PROBLEM
and,CC,O,I-PROBLEM
sluggish,JJ,O,I-PROBLEM
rhythmic,JJ,B-NP,B-PROBLEM
eye,NN,I-NP,I-PROBLEM
movement,NN,I-NP,I-PROBLEM
to,TO,O,I-PROBLEM
left,VB,O,I-PROBLEM
unresponsive,JJ,O,B-PROBLEM
poor,JJ,B-NP,B-PROBLEM
perfusion,NN,I-NP,I-PROBLEM
poor,JJ,B-NP,B-PROBLEM
perfusion,NN,I-NP,I-PROBLEM
worsening,VBG,O,B-PROBLEM
perfusion,NN,B-NP,I-PROBLEM
right,JJ,B-NP,B-PROBLEM
upper,JJ,I-NP,I-PROBLEM
lobe,NN,I-NP,I-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
hypokalemia,NN,B-NP,B-PROBLEM
flattening,VBG,O,B-PROBLEM
T,NNP,B-NP,I-PROBLEM
waves,NNS,I-NP,I-PROBLEM
ST,NNP,B-NP,B-PROBLEM
changes,NNS,I-NP,I-PROBLEM
hypernatremia,NN,B-NP,B-PROBLEM
hypovolemic,JJ,B-NP,B-PROBLEM
shock,NN,I-NP,I-PROBLEM
hypotension,NN,B-NP,B-PROBLEM
hypocalcemia,NN,B-NP,B-PROBLEM
hypotension,NN,B-NP,B-PROBLEM
positive,JJ,B-NP,B-PROBLEM
proteins,NNS,I-NP,I-PROBLEM
positive,JJ,B-NP,B-PROBLEM
red,JJ,I-NP,I-PROBLEM
blood,NN,I-NP,I-PROBLEM
cells,NNS,I-NP,I-PROBLEM
white,JJ,I-NP,B-PROBLEM
cell,NN,I-NP,I-PROBLEM
count,NN,I-NP,I-PROBLEM
positive,JJ,B-NP,B-PROBLEM
glucose,NN,I-NP,I-PROBLEM
no,DT,B-NP,B-PROBLEM
response,NN,I-NP,I-PROBLEM
irregular,JJ,O,B-PROBLEM
non,JJ,B-NP,B-PROBLEM
reactive,NN,I-NP,I-PROBLEM
absent,JJ,O,B-PROBLEM
no,DT,B-NP,B-PROBLEM
gag,NN,I-NP,I-PROBLEM
increased,VBN,O,B-PROBLEM
throughout,IN,B-VP,I-PROBLEM
both,DT,O,B-PROBLEM
extended,VBN,O,I-PROBLEM
and,CC,O,I-PROBLEM
internally,RB,O,I-PROBLEM
rotated,VBN,O,I-PROBLEM
silent,JJ,O,B-PROBLEM
no,DT,B-NP,B-PROBLEM
spontaneous,JJ,I-NP,I-PROBLEM
movement,NN,I-NP,I-PROBLEM
no,DT,B-NP,B-PROBLEM
response,NN,I-NP,I-PROBLEM
dilated,VBN,O,B-PROBLEM
non,JJ,B-NP,B-PROBLEM
reactive,NN,I-NP,I-PROBLEM
blurred,VBN,O,B-PROBLEM
severe,JJ,B-NP,B-PROBLEM
cerebral,JJ,I-NP,I-PROBLEM
edema,NN,I-NP,I-PROBLEM
thalamic,JJ,B-NP,B-PROBLEM
mid,NN,I-NP,I-PROBLEM
brain,NN,I-NP,I-PROBLEM
",",",",O,I-PROBLEM
pons,NNS,B-NP,I-PROBLEM
",",",",O,I-PROBLEM
medullar,JJ,B-NP,I-PROBLEM
low,JJ,I-NP,I-PROBLEM
attenuation,NN,I-NP,I-PROBLEM
diffuse,VB,O,B-PROBLEM
cerebral,JJ,B-NP,I-PROBLEM
edema,NN,I-NP,I-PROBLEM
loss,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
gray,JJ,B-NP,I-PROBLEM
white,JJ,I-NP,I-PROBLEM
matter,NN,I-NP,I-PROBLEM
differentiation,NN,I-NP,I-PROBLEM
complete,JJ,B-NP,B-PROBLEM
absence,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
blood,NN,B-NP,I-PROBLEM
flow,NN,I-NP,I-PROBLEM
to,TO,O,I-PROBLEM
brain,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
tiny,JJ,I-NP,I-PROBLEM
region,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
activity,NN,B-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
varicella,NN,I-NP,I-PROBLEM
severe,VB,O,B-PROBLEM
neurological,JJ,B-NP,I-PROBLEM
injury,NN,I-NP,I-PROBLEM
poor,JJ,B-NP,B-PROBLEM
prognosis,NN,I-NP,I-PROBLEM
diverticulitis,NN,B-NP,B-PROBLEM
colon,NN,B-NP,B-PROBLEM
cancer,NN,I-NP,I-PROBLEM
An,DT,O,B-PROBLEM
invasive,JJ,O,I-PROBLEM
moderately,RB,O,I-PROBLEM
differentiated,JJ,B-NP,I-PROBLEM
adenocarcinoma,NN,I-NP,I-PROBLEM
bloating,NN,B-NP,B-PROBLEM
flatulence,NN,B-NP,B-PROBLEM
increased,VBN,O,B-PROBLEM
fatigue,NN,B-NP,I-PROBLEM
some,DT,B-NP,B-PROBLEM
discomfort,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
left,JJ,B-NP,I-PROBLEM
lower,JJR,I-NP,I-PROBLEM
abdomen,NNS,I-NP,I-PROBLEM
diarrhea,VBP,O,B-PROBLEM
weight,JJ,I-NP,B-PROBLEM
loss,NN,I-NP,I-PROBLEM
tumor,NN,B-NP,B-PROBLEM
complications,NNS,I-NP,B-PROBLEM
unremarkable,JJ,O,B-PROBLEM
pain,NN,B-NP,B-PROBLEM
control,NN,I-NP,I-PROBLEM
pain,NN,B-NP,B-PROBLEM
MENTALLY,NNP,B-NP,B-PROBLEM
RETARDED,NNP,I-NP,I-PROBLEM
AN,NNP,I-NP,B-PROBLEM
AQUIRED,NNP,I-NP,I-PROBLEM
DEFECT,NNP,I-NP,I-PROBLEM
OF,IN,B-VP,I-PROBLEM
THE,NNP,B-NP,I-PROBLEM
RIGHT,NNP,I-NP,I-PROBLEM
NASAL,NNP,I-NP,I-PROBLEM
ALA,NNP,I-NP,I-PROBLEM
AND,NNP,I-NP,I-PROBLEM
MEDIAL,NNP,I-NP,I-PROBLEM
CHEEK,NNP,I-NP,I-PROBLEM
REGION,NNP,I-NP,I-PROBLEM
BASAL,NNP,I-NP,B-PROBLEM
CELL,NNP,I-NP,I-PROBLEM
CARCINOMA,NNP,I-NP,I-PROBLEM
SLOW,NNP,I-NP,B-PROBLEM
TO,NNP,I-NP,I-PROBLEM
AWAKE,NNP,I-NP,I-PROBLEM
AFEBRILE,NNP,I-NP,B-PROBLEM
HER,NNP,B-NP,B-PROBLEM
WOUND,NNP,I-NP,I-PROBLEM
INFECTION,NNP,I-NP,B-PROBLEM
BREAKDOWN,NNP,I-NP,B-PROBLEM
multiple,JJ,B-NP,B-PROBLEM
strokes,NNS,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
spontaneous,JJ,I-NP,I-PROBLEM
subdural,JJ,I-NP,I-PROBLEM
hematoma,NN,I-NP,I-PROBLEM
prostatic,JJ,B-NP,B-PROBLEM
hypertrophy,NN,I-NP,I-PROBLEM
increasing,VBG,O,B-PROBLEM
dyspneic,NN,B-NP,I-PROBLEM
collapsed,VBD,B-VP,B-PROBLEM
unable,JJ,O,B-PROBLEM
to,TO,O,I-PROBLEM
walk,VB,O,I-PROBLEM
his,PRP$,O,B-PROBLEM
fever,NN,B-NP,I-PROBLEM
cough,NN,B-NP,B-PROBLEM
choking,NN,B-NP,B-PROBLEM
intermittently,RB,O,B-PROBLEM
many,JJ,B-NP,I-PROBLEM
coarse,JJ,I-NP,I-PROBLEM
rales,NNS,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
his,PRP$,O,I-PROBLEM
base,NN,B-NP,I-PROBLEM
clearing,NN,I-NP,B-PROBLEM
minimal,JJ,O,B-PROBLEM
abdominal,JJ,I-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
fever,NN,I-NP,B-PROBLEM
shaking,VBG,O,B-PROBLEM
chills,NNS,B-NP,B-PROBLEM
nausea,NN,I-NP,B-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
change,NN,I-NP,B-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
bowel,NN,B-NP,I-PROBLEM
movements,NNS,I-NP,I-PROBLEM
attacks,NNS,B-NP,B-PROBLEM
diverticulitis,NN,B-NP,B-PROBLEM
flairs,NNS,I-NP,I-PROBLEM
baseline,JJ,B-NP,B-PROBLEM
diverticulosis,NN,I-NP,I-PROBLEM
flairing,NN,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
attack,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
diverticulitis,NN,B-NP,I-PROBLEM
multiple,JJ,B-NP,B-PROBLEM
diverticula,NN,I-NP,I-PROBLEM
diverticulosis,NN,B-NP,B-PROBLEM
acute,JJ,I-NP,B-PROBLEM
diverticulitis,NN,I-NP,I-PROBLEM
