Entity,Match,Matched Entity,Score
Schizophrenia-,False,Adjustment disorder,0.8491398
pain/discomfort,False,Acute pain,0.8111027
"Pneumonia, MRSA:",False,"Lobar pneumonia, LUL",0.83243626
Hypothyroidism:,True,Hypothyroidism due to thyroiditis,0.94438636
INR<2.,False,Hx of non CNS primitive neuroectodermal tumor,0.7121695
"for low Triiodothyronine Thyroxine (T4),",False,Classical phenylketonuria,0.7855624
loose stools,False,Bulky stool,0.73478293
"sedation,",False,Anemia,0.77913404
Pulmonary Embolism,True,Acute pulmonary embolism,0.9716702
"lung clots,",False,"Intracranial hemorrhage, unspecified due to birth trauma",0.8045361
diuresing,False,IUD removal,0.82450557
resusitate,False,Situs inversus,0.7655994
astma.,False,IUD counseling,0.7754173
"withdrawal,",False,"Seizure, unspecified",0.8027518
withdrawal,False,Paralysis,0.8049096
CIWA.,False,IgA deficiency,0.779704
"intubated,",False,Difficult intubation,0.71065474
agitated.,False,Angry,0.8239144
withdrawal.,False,Declines chemotherapy,0.77006245
intubated,False,Failed intubation,0.77360445
edematous cords.,False,"Epigastric swelling, mass, or lump",0.8418269
Ventilator Associated Pneumonia:,True,Ventilator associated pneumonia,0.9257158
Pulmonary Embolism:,True,Recurrent pulmonary embolism,0.9157728
solid tumors,True,Transient arthritis,0.8516545
"Alcohol Dependence, withdrawal:",False,"Nicotine dependence due to cigarettes, in remission",0.8164537
Clostridium difficile Colitis:,True,Clostridium perfringens food poisoning,0.9064574
CIWA,False,Macule,0.81757367
anxiety/insomnia,True,Insomnia,0.8746428
sob/wheeze,False,Wheezing,0.8027829
clot,False,Headache,0.7609855
infection,True,Pneumonia,0.9304775
hypertensive,True,Hypertensive crisis,0.8872064
ventilator associated pneumonia,True,Ventilator associated pneumonia,1.0000001
Diarrhea,True,Diarrhea,0.9999999
spiked to 101.3,False,High head at term,0.61829686
Rectal metastatic adenocarcinoma,True,"Adenocarcinoma, transverse colon",0.8825946
"diarrhea,",True,Diarrhea,0.9212736
"acidosis,",True,"Acidosis, unspecified",0.88485193
fevers,True,Yellow fever,0.8586661
acidosis,True,Fungal pneumonia,0.8513397
SBO,False,Id reaction,0.80530787
dropping HCT.,False,Hx of bladder replacement,0.7924998
elevated INR,False,Elevated LDH,0.8074147
neutropenic fever.,True,"Neutropenic fever, unspecified",0.9452087
SBO.,False,IUD counseling,0.7993494
NEUTROPENIC FEVER:,True,"Neutropenic fever, unspecified",0.93939483
aspiration/pneumonia.,True,Acute aspiration pneumonia,0.8835931
RECTAL CANCER:,True,Rectal cancer,0.9062792
acidosis.,True,Anemia,0.8733656
"CAD,",False,"CAD of CABG, unspecified, w unspecified angina",0.70407236
"DM2,",False,DM 2,0.795964
"HTN,",False,MRSA carrier,0.7590326
"anemia,",True,Anemia,0.8832307
sepsis.,False,SARS pneumonia,0.8479484
CAD,True,Arthritis,0.87823486
CHF,False,Q fever,0.7586047
primary hypothyroidism;,True,Hypothyroidism due to thyroiditis,0.9419363
hypothyroidism.,True,Hypothyroidism due to thyroiditis,0.9543556
"hypothyroidism,",True,"Hypoparathyroidism, unspecified",0.93905556
Pancytopenia:,True,Pancytopenia,0.86249524
anemia,True,Anemia,1.0
"hyponatremic,",True,Hyponatremia,0.8817112
hypothyroidism;,True,"Hypoparathyroidism, unspecified",0.9410609
CAD:,False,DM 2,0.69789255
CHF:,False,"CHF, stage D",0.79824066
overdry,False,IUD surveillance,0.7233711
"Pancytopenia(anemia,leukopenia,thrombocytopenia),",True,Pancytopenia due to antithyroids,0.898101
hypothyroidism,True,Hypothyroidism,1.0000002
SAH,False,Ainhum,0.80015117
ADHD,True,ADHD,1.0
Schizoaffective disorder,True,"Schizoaffective disorder, bipolar type",0.96221673
pleuritic,False,Varicose veins,0.7603868
headaches,True,Chronic daily headache,0.86284316
MCA aneurysm s/p coiling,True,"Ruptured aneurysm of abdominal aorta, unspecified part",0.88753307
Asthma:,False,"Intermittent asthma, controlled",0.83934253
Schizoaffective disorder:,True,"Schizoaffective disorder, bipolar type",0.95794266
migraines).,False,"Migraine, intractable",0.7691392
ADHD:,False,"ADHD, combined presentation",0.81512845
fever.,False,Fever,0.8425862
altered mental status,True,"Altered mental status, unspecified",0.8919463
presumed Wernicke's.,False,Wernicke disease,0.7066803
Wernicke Korsakoff's pathology.,True,Alcoholic Wernicke Korsakoff syndrome,0.8660091
Agoraphobia,True,Agoraphobia,0.9999999
serotonin syndrome,True,Serotonin syndrome,0.9999999
opioid detox,False,Nonopioid analgesic overdose,0.84269834
bruising,False,Painful scar,0.81647575
altered mental status.,True,"Altered mental status, unspecified",0.8616283
benzodiazepine intoxication,True,Benzodiazepine overdose,0.9371178
pain-,True,Pain crisis,0.89454657
Hypertension:,False,HTN (Hypertension),0.8370503
Essential tremor:,False,Benign essential tremor,0.829677
BPH:,False,Rh negative,0.8032373
agitation/psychosis,False,Psychogenic paranoid psychosis,0.83968145
"psychosis,",False,Childhood psychosis,0.8266115
"back pain,",True,Back pain,0.89787066
"Hypertension,",False,Vision disorder,0.829364
"BPH,",False,Rh positive,0.783046
confusion,True,Confusion,1.0000001
chest pain radiating to the jaw.,False,Left eye pain,0.76489496
stop the bleeding,False,Bleeding,0.6877165
stop the bleeding.,False,Sleep talking,0.6918061
hypotensive.,False,Hypopituitarism,0.7850027
upper body pruritic rash.,False,Subcutaneous fat necrosis due to birth trauma,0.8328624
anaphylaxis,True,Anaphylaxis,0.99999994
ST elevations,False,AV block,0.75656193
anaphylactic reaction.,False,Anaphylactic shock,0.8200005
OA pain,False,Migraine wo aura,0.80253166
tachycardic,True,Neonatal tachycardia,0.8789305
cratered 15mm ulcer,False,"Pressure ulcer of buttock stage 1 (superficial skin changes), unspecified side",0.8086382
skin boil.,False,Chemical burn of forehead,0.79850465
tachycardia.,True,Tachycardia,0.9381356
"SBP dropped to the 80s and high 70s,",False,DM 2 w left proliferative retinopathy,0.61522317
maintian MAPs>60.,False,"Acute ST elevation MI, unspecified",0.71882737
aspiration pna,False,Aspiration pneumonia,0.7794651
cdiff,False,Vertigo,0.78600657
Hypotension:,True,Hypotension,0.92978454
Abd pain/gerd:,False,Hx of right total hip arthroplasty,0.7619553
Seizure d/o:,False,Hx of seizure,0.7497027
HCV cirrhosis,True,CMV gastritis,0.8751955
lymphoblastic lymphoma/ALL,True,"Lymphoblastic lymphoma, unspecified site",1.0000002
"ALL,",False,Loneliness,0.76460433
strep viridans line infection,True,Strep viridans infection,0.97607887
lymphoblastic lymphoma,True,"Lymphoblastic lymphoma, unspecified site",1.0000002
lymphoblastic lymphoma/leukemia,True,"Lymphoblastic lymphoma, unspecified site",1.0000002
lymphoma/leukemia),True,"Chronic lymphoid leukemia, in relapse",0.87315226
lymphoma.,True,"Follicular lymphoma, unspecified type and site",0.93275154
neuropathy.,True,Neuropathy,0.92295015
"lymphoma,",True,"Follicular lymphoma, unspecified type and site",0.9370802
fevers.,False,Yellow fever,0.8189227
acute lymphoblastic leukemia/lymphoma.,True,Common acute lymphoblastic leukemia,0.96594334
"hypotensive,",False,Hypotension,0.7908062
lower GI bleed.,False,Left finger stress fx,0.8004772
HIT,True,Glare,0.90356743
atrial fibrillation,True,Chronic atrial fibrillation,0.96591854
sedated,False,Locked in syndrome,0.7149774
LGIB,False,Abnl cervical Pap LGSIL (low grade squamous intraepithelial lesion),0.77721846
"dystonia,",False,Dystonic tremor,0.7504143
atrial fibrillation.,True,Chronic atrial fibrillation,0.9324119
afib,False,IgA deficiency,0.7995256
afib.,False,IgG deficiency,0.77254176
ARF,False,RSV pneumonia,0.80540633
PEs,False,Schizophrenia,0.65830725
"MRSA PNA,",False,MRSA carrier,0.8437302
torulopsis,False,Hemiballism,0.8486444
C. diff,False,RSV pneumonia,0.77894235
dystonia,False,Tardive dystonia,0.77645075
hct 25.9,False,IUD surveillance,0.7239357
platelets of 37K,False,DM 1 w proteinuria,0.7181635
DM II,True,DM 2,0.9248728
SBP prophylaxis.,False,Serological relapse after treatment of latent early syphilis,0.80698895
encephalopathy.,True,Encephalopathy,0.9317101
acute alcoholic hepatitis.,True,Acute hepatitis A,0.89132124
Acute renal insufficiency:,True,Acute renal insufficiency,0.9617677
hepatorenal syndrome,True,Hepatorenal syndrome,1.0000001
DM II:,True,DM 2,0.8702526
"TIA,",False,Crystal arthritis,0.75226176
TIA,True,Headache,0.87855947
chronic anticoagulation,True,Declines anticoagulation therapy,0.9039995
"Polymyalgia rheumatica,",True,Polymyalgia rheumatica,1.0000002
Afib,False,IgA deficiency,0.7995256
TIA's,False,Crystal arthritis,0.6868344
neutropenia.,True,"Neutropenia, unspecified",0.91429627
A fib,False,IgA deficiency,0.72285
Dementia,True,Arthritis,0.9479016
DVT prophylaxis;,False,Serological relapse after treatment of latent early syphilis,0.8392147
"suspicion of HIT,",False,"Cause of assault, human bite",0.78816104
her DVT.,False,"Acute post CABG DVT of bilat legs, unspecified veins",0.7676596
anticoagulation,False,Declines anticoagulation therapy,0.8368409
prophylaxis.,False,Serological relapse after treatment of latent early syphilis,0.77501094
anticoagulation.,False,Hydronephrosis,0.7774217
anxiety/depression,True,Adjustment disorder w anxiety,0.8737091
anticoagulated,False,Declines anticoagulation therapy,0.81406975
right foot wound.,True,Gunshot wound of right ankle,0.8845477
0-60 mg/dL,False,"Burn, > 90% BSA",0.67519367
"long ventriculoperitoneal tachycardiac narrow complex at 139,",True,Ventriculoperitoneal shunt infection,0.92605734
"hypertension,",False,Vision disorder,0.829364
paroxysmal atrial fibrillation,True,Longstanding persistent atrial fibrillation,0.89313626
"tachycardia,",True,Tachycardia,0.9233295
hypotension,True,Hypotension,1.0000002
maintenance,False,Drowning,0.8270879
"rate control,",False,Gun safety counseling,0.80463386
TSH was also elevated to 25,False,Elevated TSH,0.68228334
Tube feeds,False,Repeated falls,0.82900774
angioedema,True,Angioedema,0.99999994
angioedema.,True,Angioedema,0.9069125
hypertension,False,Kidney disease,0.8440958
psychosis,True,Childhood psychosis,0.92001736
orthostatic,False,Orthostatic hypotension,0.83255714
?angioedema.,True,Hx of angioedema,0.86884266
orthostatic.,False,Orthostatic hypotension,0.79531085
"low-grade fever,",False,"Hypoxemic respiratory failure, unspecified acuity",0.84909487
"cough,",False,Choking sensation,0.739138
lethargy,True,Lethargy,1.0
"lethargy,",True,Lethargy,0.92469704
HTN.,False,Secondary HTN,0.8222959
Hyponatremia:,True,Hyponatremia,0.94936657
hyponatremia,True,Hyponatremia,1.0000002
neurogenic bladder,True,Neurogenic bladder,1.0
severe hyponatremia.,True,Hyponatremia,0.91555154
cough,True,Plague,0.87333655
neurogenic bladder.,True,Neurogenic bladder,0.8760285
BP control.,False,Elder nutritional neglect,0.76475364
"hyponatremia,",True,Hyponatremia,0.93472546
hyperglycemia with FS 470s,True,DM 2 w hyperglycemia,0.8700049
maintain BP,False,Callosity,0.7514887
COPD,False,IUD counseling,0.78052276
shortness of breath.,False,Lack of coordination,0.809834
APML,False,MRSA pneumonia,0.7687995
NSTEMI,False,Kwashiorkor,0.7598345
APML:,False,Abnl CNS imaging,0.6669132
prophylaxis of ATRA syndrome,True,Serological relapse after treatment of latent early syphilis,0.8522526
heart failure,True,Left heart failure,0.93704075
NSTEMI.,False,Kwashiorkor,0.74633723
hypoxic,True,Hypoxia,0.8794507
"heart failure,",True,Liver failure,0.8536472
thrush,False,Hoarseness,0.7553097
"NSTEMI,",False,Kwashiorkor,0.7712639
"APML,",False,Abnl CNS imaging,0.6974189
PVD,False,Elevated CPK,0.64970905
"stent placement,",False,Hx of iliac stent placement,0.81387615
"PVD,",False,Elevated CPK,0.6619057
stent placement,False,Wound drainage,0.7901068
"CAD/PVD,",False,FHX of CAD,0.65496445
AFib,False,IgA deficiency,0.7995256
in-stent thrombosis,True,Arteriovenous graft thrombosis,0.87980163
stenting,False,Wound drainage,0.7775703
angioplasty/stenting,True,Surgical arteriovenous fistula stenosis,0.8705648
angioplasty,True,Intestinal angiodysplasia,0.85941565
Chronic pain:,True,Chronic pain,0.86206925
Depression:,False,Psychological disorder,0.8096544
Pain.,True,Pain crisis,0.8861784
Chest pain:,True,Chest pain,0.8692571
chest pressure.,False,Blood pressure elevation,0.84368634
chest pain.,True,Chest pain,0.9103662
PNA.,False,RSV pneumonia,0.79353625
Hypothyroidism,True,Hypothyroidism,1.0000002
CAP.,False,IUD insertion,0.75067794
bronchitis.,True,Bronchitis,0.89762866
esophagitis,True,Erosive esophagitis,0.9086648
esophagitis.,True,"Esophagitis, unspecified",0.92800665
Cystitis:,True,Cystitis,0.880886
rectal discomfort.,True,Rectal bleeding,0.8704798
Hypothyroidism.,True,Hypothyroidism due to thyroiditis,0.9543556
"fever,",False,Fever,0.7931832
Upper Gastrointestinal Bleed:,True,Hx of gastrointestinal bleed,0.87642294
"chronic pain,",True,Chronic pain,0.88386965
gastropathy,True,Gastropathy,0.9999999
Hyperliipidemia:,True,Hyperlipidemia,0.89931846
ulcer,True,Anal ulcer,0.8915007
stomach irriation.,False,Abdominal swelling,0.7992252
Metastatic breast cancer to the brain/Seizure:,True,Thyroid cancer metastatic to bone,0.8550259
"Encephalopathy,",True,Encephalopathy,0.9304217
her seizure.,False,Choking sensation,0.7417165
fever/pain.,False,Drug induced fever,0.7867657
line flush.,False,Left radius Fx,0.7864844
anti-seizure,False,Arrested dental caries,0.70008624
"COPD,",False,IUD counseling,0.74692667
pinpoint pupils,False,Deconditioning,0.71757734
sz,False,MRSA carrier,0.7344024
toxicity.,False,Overactivity,0.82349694
pain?).,False,Hx of stress fx,0.6957923
IVC filter,False,IUD removal,0.79119647
"Hypotension,",True,Hypotension,0.9233956
pressure support.,False,Excessive horizontal overlap,0.76887035
the UTI.,False,Lower UTI,0.8004431
serratia):,False,Left uveitis,0.6547422
enterococcus,True,Enterococcus infection,0.8953037
serratia.,False,Pellagra,0.8358432
seizure activity.,False,Gait abnormality,0.83039206
COPD.,False,IUD insertion,0.73813283
DVT.,False,RSV pneumonia,0.80835694
IVF filters,False,Wound drainage,0.7815069
Chronic PAIN:,True,Chronic pain,0.86206925
respiratory suppression,True,Respiratory distress,0.86365914
SOB/wheeze.,False,Wheezing,0.7786416
