Entity,Match,Matched Entity,Score
decreased function of the left kidney,True,Traumatic left kidney injury,0.89559126
dilated left intrarenal collecting system and proximal ureter,True,Right renal artery injury,0.92836154
periaortic lymphadenopathy,True,Mesenteric lymphadenopathy,0.9519686
numerous erythematous maculopapules on her back,True,Erythema nodosum,0.93302524
steroid acne,True,Cystic acne,0.952065
The patient &apos;s shortness of breath,False,Relational problems w in-laws,0.84595865
some mental status changes,True,Cognitive changes due to medical disorder,0.910311
confusion,True,Confusion,1.0
hallucinations,True,Hallucination,0.967437
decreased pO2,True,Cyanosis,0.89059144
the mental status changes,True,Cognitive changes due to medical disorder,0.9031135
further hallucinations,True,Sleep related hallucinations,0.95047426
her new diagnosis,True,Ayerza syndrome,0.8634505
symptoms,True,Worries,0.9643021
anxiety,True,Hunger,0.95820916
her shortness of breath,True,Dyspnea,0.89814186
end stage renal disease,True,Chronic renal insufficiency,0.9398191
polycystic kidneydisease,True,Fhx of polycystic kidney disease,0.92119664
rupture,True,Rupture of artery,0.92610836
difficult access problems,True,Difficulty feeding self,0.88773084
this difficult access problem,True,"Problem related to life management difficulty, unspecified",0.8815789
type I renal tubular acidosis,True,Renal tubular acidosis type 4,0.97933435
nephrocalcinosis,True,Nephrocalcinosis,1.0000005
cough,True,Pneumonia,0.9596641
weakness,True,Nausea,0.95758325
unable to walk,True,Difficulty walking,0.8800093
chicken pox lesions on thorax,True,Initial lesion of yaws,0.91581523
sunken eyes,True,Petechiae,0.91009724
thick nasal discharge,True,Nasal disease,0.91503775
"dry lips , tongue and mucous membranes",True,Bilat upper and lower eyelid eczema,0.90504754
red tonsils,True,Acute tonsillitis,0.90213907
dehydration,True,Dehydration,1.0000001
hypokalemia,True,Hypokalemia,1.0000002
hyponatremia,True,Hyponatremia,1.0000002
tonsillitis,True,Tonsillitis,1.0
respiratory distress,True,Respiratory distress,1.0000002
Oral cyanosis,True,Cyanosis,0.95449305
shallow respirations,True,Organic acid metabolism disorder,0.89119947
significant hypertension,True,Hypertensive heart disease,0.94303143
abnormal findings,True,Respiratory abnormality,0.9097944
Copious urine output,True,BPH w weak urinary stream,0.91572404
lethargic,True,Lethargy,0.97376513
unresponsive,True,Slowness and poor responsiveness,0.86958766
areflexic,True,Anisometropia,0.86478114
limp,True,Corn,0.9545782
seizures,True,Focal motor seizure,0.9111248
twitching of face,True,Projectile vomiting,0.9125035
rapid movements of eyes,True,Postural instability of gait,0.8922647
Pupils dilated and sluggish,True,Left peripheral anterior synechiae,0.8846396
rhythmic eye movement to left,True,Right eye displacement,0.88802224
poor perfusion,True,Demand ischemia,0.89534456
worsening perfusion,True,Demand ischemia,0.89695275
right upper lobe pneumonia,True,Bilat lower lobe pneumonia,0.94403386
flattening T waves,True,Abnl plasma viscosity,0.88966763
ST changes,True,Secondary HTN,0.8903703
hypernatremia,True,Hypernatremia,1.0000001
hypovolemic shock,True,Hypovolemic shock,1.0000001
hypotension,True,Hypotension,1.0000002
hypocalcemia,True,Hypocalcemia,1.0000001
positive proteins,True,Serum sickness,0.8696023
positive red blood cells,True,White blood cell disorder,0.8952624
white cell count,True,White blood cell disorder,0.94158924
positive glucose,True,Positive culture finding,0.9011507
no response,True,Rales,0.87327886
irregular,True,Corn,0.95953643
non reactive,True,Reactive confusion,0.9001685
absent,True,Canities,0.89611804
no gag,False,HIV positive,0.80719507
increased throughout,True,Elevated CEA,0.9147958
both extended and internally rotated,True,Monofixation syndrome,0.86360013
silent,True,Confusion,0.9593737
no spontaneous movement,True,Persistent miosis,0.8880462
dilated,True,Miosis,0.8942801
blurred,True,Confusion,0.95747966
severe cerebral edema,True,Traumatic cerebral edema,0.9596641
"thalamic mid brain , pons , medullar low attenuation",True,Hx of parameatal cyst,0.88356674
diffuse cerebral edema,True,Diffuse axonal brain injury,0.9409144
loss of gray white matter differentiation,True,White matter disease,0.9297484
complete absence of blood flow to brain,True,"Vascular insufficiency of limb, unspecified type",0.909419
a tiny region of activity,True,Transient heat fatigue,0.87669694
the varicella,True,Varicella,0.9534569
severe neurological injury,True,"Severe sepsis w acute organ dysfunction, w anaerobic septicemia",0.91025317
poor prognosis,False,Cancer metastatic to unspecified LN,0.8422827
diverticulitis,True,Diverticulitis,0.9999996
colon cancer,True,Colorectal cancer,0.96013355
An invasive moderately differentiated adenocarcinoma,True,"Adenocarcinoma, small intestine, unspecified site",0.946544
bloating,True,Abdominal bloating,0.9551419
flatulence,True,Flatulence,1.0
increased fatigue,True,Elevated CEA,0.9187269
some discomfort in her left lower abdomen,True,Localized swelling on left lower leg,0.937422
diarrhea,True,Diarrhea,1.0000001
weight loss,True,Intentional weight loss,0.9207715
complications,True,Bleeding,0.9458877
unremarkable,True,Unhappiness,0.86084807
pain control,True,Pain crisis,0.9530425
pain,True,Pain,1.0000002
MENTALLY RETARDED,True,Speech and language developmental delay due to hearing loss,0.8932636
AN AQUIRED DEFECT OF THE RIGHT NASAL ALA AND MEDIAL CHEEK REGION,True,Congenital eventration of diaphragm,0.9192376
BASAL CELL CARCINOMA,True,Basal cell carcinoma,1.0000002
SLOW TO AWAKE,True,Drowsiness,0.8919905
AFEBRILE,True,Pseudomonas enteritis,0.87815744
HER WOUND,True,Wound drainage,0.9333435
INFECTION,True,Pneumonia,0.9560217
BREAKDOWN,True,Canities,0.85535175
multiple strokes,True,Repeated falls,0.89306104
a spontaneous subdural hematoma,True,Traumatic subdural hematoma,0.98114675
prostatic hypertrophy,True,Prostate hyperplasia,0.95412135
increasing dyspneic,True,Dyspnea,0.95208
collapsed,True,Canities,0.8509575
his fever,True,Chest cold,0.89934045
choking,True,Confusion,0.95360386
intermittently many coarse rales in his base,True,Gouty tophi of heart,0.90628886
clearing,True,Confusion,0.95550835
minimal,True,Corn,0.96169174
abdominal pain,True,Abdominal pain,0.9999999
fever,True,Fever,1.0000001
shaking,True,Agitation,0.9597816
change in her bowel movements,True,Change in bowel habit,0.9567464
attacks,True,Headache,0.9569151
diverticulitis flairs,True,Diverticulitis,0.94723564
baseline diverticulosis flairing,True,Hx of diverticulitis,0.934935
an attack of diverticulitis,True,Hx of diverticulitis,0.9496829
multiple diverticula,True,Diverticulitis w perforation,0.93835515
diverticulosis,True,Diverticulosis,1.0
acute diverticulitis,True,Diverticulitis,0.9682891
obstruction,True,Obstructive shock,0.94106036
the passage of some blood clots,True,Hx of thrombophlebitis,0.89507914
blood per rectum,True,Bright red blood per rectum,0.9429137
bleeding per rectum,True,Rectal bleeding,0.95260286
bleeding,True,Bleeding,1.0000002
some initial nausea,True,Persistent vomiting,0.91056824
emesis,True,Tetany,0.9344607
dizziness,True,Dizziness,0.99999994
some slight headaches,True,Dizziness,0.88798404
headaches,True,Tension headache,0.9519257
the dizziness,True,Dizziness,0.9578459
Her wound,True,Wound drainage,0.9333435
chronic pancreatitis,True,Chronic pancreatitis,1.0000004
alcohol abuse,True,Alcohol withdrawal,0.9562797
a cystic lesion,True,"Dermoid cyst, left ovary",0.9277081
pancreatitis,True,Acute pancreatitis,0.9808325
an enlargement of the head of his pancreas,True,Acquired deformity of abdominal wall,0.9048092
early pseudocyst,True,Bilat ear pseudocyst,0.9444542
not do well,False,Dry mouth,0.8465229
minimal food intake,True,Dietary calcium deficiency,0.902756
lost about 20 pounds,False,Financial problem,0.8085848
significantly elevated alkaline phosphatase,True,Elevated alkaline phosphatase,0.9664953
his pancreatitis,True,Acute pancreatitis,0.966847
vomited,True,Vomiting,0.9815608
heme positive material,True,Biotinidase deficiency,0.912604
11% bandemia,True,Fhx of blood disorder,0.9035392
flow,True,Agitation,0.9098313
common bile duct obstruction,True,Bile duct obstruction,0.9896699
dropped,True,Canities,0.87019986
recorded melena,True,Melena,0.9241893
stones,False,Canities,0.81138134
wall thickening,True,Skin thickening,0.90440536
a dilated common bile duct,True,Acquired dilated bile duct,0.97499907
a long nipple like papilla,True,Bilat chronic giant papillary conjunctivitis,0.9183203
Streptococcus sanguis-gordonii,True,Streptococcal pharyngitis,0.964356
an abnormal pap smear,True,Vaginal swab culture positive,0.8992191
grade 1 endometrial cancer,True,Endometrial cancer,0.95748436
menses,True,Molar pregnancy,0.8958251
menopausal,True,Menopause,0.98689884
spotting,True,Sight problem,0.9099012
some constant,True,Instantaneous death,0.8645475
constant brown brown discharge discharge,True,Bilat age related entropion,0.8843128
an endometrial cell,True,Lung endometriosis,0.9429732
a grade 1 cancer,True,"Bladder cancer, trigone",0.8756938
invasion of the myometrium,True,Endometrial thickening,0.93629766
coronary artery disease,True,Coronary arteritis,0.9524021
endocarditis,True,Endocarditis,1.0
a left-sided infiltrate,True,Subcutaneous nodule of left lower leg,0.916795
effusion,True,Effusion of joint,0.9021852
chest pain,True,Chest pain,0.99999976
intermittently short of breath,True,Lack of adequate sleep,0.876659
atrial fibrillation,True,Chronic atrial fibrillation,0.984798
recurrent pleural effusion,True,Secondary pleural effusion,0.9798706
Incisions,True,Suture removal,0.8935715
nontender,True,Bilat knee joint pain,0.85169566
nondistended,True,Noncompliant bladder,0.8651944
edema,True,Edema,1.0000001
Right lower extremity incision,True,Right lower leg laceration,0.932127
Type I DM,True,"Hx of MI, type 2",0.92438495
HTN,True,Secondary HTN,0.9496224
gastroparesis,True,Gastroparesis,0.99999976
ESRD,True,Croup,0.9263179
hypertensive urgency,True,Hypertensive urgency,0.9999999
his usual nausea,True,Left itchy eye,0.916708
hypertensive,True,Hypertensive urgency,0.97402966
somnolence,True,Daytime somnolence,0.9303757
lack of desire,True,Emotional disturbance of childhood,0.88974667
diaphoretic,True,Athetosis,0.88342416
vomiting clear substance,True,Projectile vomiting,0.93190837
similar complaints,True,Head swelling,0.9115519
labile blood sugars,True,Low blood pressure reading,0.9167581
hypoglycemia,True,Hypoglycemia,0.9999998
critically high,True,Acute MI,0.9167789
somewhat uncomfortable,True,Tetany,0.9026788
sleepiness,True,Sleep talking,0.97358274
CP,True,Croup,0.9492941
SOB,True,Canities,0.856488
HA,True,Fever,0.92887
vision changes,True,Vision disorder,0.9690325
neck stiffness,True,Neck stiffness,1.0000002
dysuria,True,Dysuria,1.0000002
other symptoms,True,Chest discomfort,0.89479625
hypotensive,True,Hypotension,0.9848254
localizing signs of infection,True,Localized swelling on head,0.8968296
abscess at the site,True,Abscess of skull bone,0.9516746
somnolent,True,Hypersomnia,0.92287123
low,True,Angry,0.92899805
disoriented,True,Transient insomnia,0.86126906
GPC in pairs and clusters,True,TB of GI system,0.9173273
specific complaints,True,Acute MI,0.9067018
hypertension,True,Hypertensive heart disease,0.96006376
inability to take meds,True,Patient declines to follow up w colonoscopy,0.88254774
N/V,False,Vomiting,0.8222972
autonomic dysfunction,True,Autonomic dysreflexia,0.96759427
active end organ damage,True,Urinary organ injury,0.9149406
demand ischemia,True,Demand ischemia,1.0000002
Pt 's hypertensive urgency,True,"Hypertensive CKD, ESRD",0.93343353
difficulty,True,Confusion,0.9600971
bacteremia,True,Bacteremia,1.0000004
coag neg staph,True,Abnl chest MRI,0.89792335
+ blood cultures,True,Positive culture finding,0.90651804
stigmata of SBE,True,Charcots joint in syphilis,0.9062076
diabetic gastropathy,True,Portal hypertensive gastropathy,0.9278544
inability to toleral oral antihypertensive medication,True,Poisoning by antidiarrheal,0.8930129
n/v/,True,Postnasal drip,0.861541
DMI,True,Secondary dm,0.9436282
CAD,True,Rales,0.9086881
cp,True,Croup,0.9492941
sob,True,Canities,0.856488
original hypertensive urgency,True,Hypertensive urgency,0.9604397
persistent elevation of trop,True,Elevated ANA titer,0.92035073
DM,True,Secondary dm,0.9502915
his PORT line infection,True,Left acute pinna infection,0.8957819
numerous clots,True,Hx of coagulopathy,0.89581484
infection,True,Pneumonia,0.9560217
subtherapeuticon INR,True,Hx of phototherapeutic keratectomy,0.90948373
mixed adenocarcinoma,True,"Adenocarcinoma in adenomatous polyp, unspecified site",0.9679552
large cell carcinoma of the left upper lobe,True,"Small cell carcinoma, right main bronchus",0.96472013
lung carcinoma,True,"Adenocarcinoma lung, unspecified site",0.95120466
an unresectable mediastinal tumor,True,"Mediastinal cancer, unspecified part",0.9213098
cancer,True,Pneumonia,0.94136196
anthracosis,True,Anthracosis,1.0000001
a poorly differentiated adenocarcinoma,True,"Adenocarcinoma carcinomatosis, unspecified site",0.9545876
focal giant cells,True,Discoid kidney,0.8992591
metastatic disease,True,Metastatic cancer to eye,0.9358528
mild increase,True,Acute MI,0.9233923
increase,True,Hunger,0.9131709
her hypertension,True,Hypertensive crisis,0.9399598
fluid overload,True,Body fluid retention,0.9117255
modest anemia,True,Chronic anemia,0.9496719
unanticipated side effects,True,Adverse effect of unspecified anticonvulsant,0.86254233
polycythemia vera,True,Polycythemia vera,1.0
left side pain,True,Left arm pain,0.96568793
a complex left renal mass,True,Acquired complex renal cyst,0.9378598
complex left renal mass,True,Left renal artery laceration,0.9366176
gross adenopathy,True,Chronic adenoiditis,0.9307693
renal vein involvement,True,Right renal vein injury,0.95960015
the tumor,True,Abdominal cancer,0.8676086
minor fullness of the left renal pelvis,True,Swelling of left leg,0.91810626
postpartum depression,True,Postpartum depression,0.9999999
labor,True,Agitation,0.8880336
grunting,True,Mouth breathing,0.9220431
flaring,True,Ballism,0.9067733
retractions,True,Suture removal,0.88999796
transient tachypnea of the newborn,True,Tachypnea,0.9334606
mild streakiness of the lung fields,True,Restrictive lung mechanics due to kyphoscoliosis,0.8949961
mild oxygen desaturation,True,Hypoxemia,0.9396843
apneic or brady episodes,True,"Neonatal apnea, unspecified",0.90728545
sepsis risk factors,True,Septic shock,0.9192114
left shift,True,Left eye displacement,0.92085624
growth,True,Confusion,0.93055296
diabetes,True,Pneumonia,0.9566638
easy fatigability,True,Unhappiness,0.8802006
increased dyspnea,True,Dyspnea,0.96629643
cannot,True,Corn,0.9515571
orthopnea,True,Orthopnea,1.0000001
paroxysmal nocturnal dyspnea,True,Paroxysmal nocturnal dyspnea,0.99999976
diaphoresis,True,Diaphragm disorder,0.8793028
bowel movement changes,True,Change in bowel habit,0.94725394
increased urinary frequency,True,Urinary frequency,0.9706537
diastolic and systolic dysfunction,True,"Combined systolic and diastolic heart failure, acute",0.96825606
moderately depressed left ventricular systolic function,True,Left ventricular diastolic dysfunction,0.95039773
hypokinesis of the lower half of septum and apex,True,Somatic dysfunction of head region,0.91841847
the distal lateral wall hypokinesis,True,Perineal hypospadias,0.90367514
The wall motion abnormalities,True,Left atrial enlargement,0.8916229
the wall motion abnormalities,True,Left atrial enlargement,0.8916229
a non-Q wave myocardial infarction,True,Silent myocardial ischemia,0.91168356
her current cardiac failure,True,Failed pregnancy termination W renal failure,0.88324296
her renal functioning worsening,True,Acute renal failure due to ace inhibitor,0.9354268
the renal issue,True,Renal mass,0.93309426
renal artery stenosis,True,Left renal artery stenosis,0.9817189
severe right renal artery stenosis,True,Right renal artery stenosis,0.98750657
moderate to severe focal stenosis of the left renal artery,True,Acute stroke due to stenosis of bilat carotid arteries,0.9263035
the coronary disease,True,CAD (coronary artery disease) wo angina,0.9139668
worsened,True,Declines treatment,0.88937765
a recurrence,True,Recurrent bacterial infection,0.9054786
metastasis,True,Metastatic cancer to eye,0.91928315
recurrent metastasis,True,Cancer metastatic to abdominal organ,0.9253301
anterior midepigastric abdominal pain,True,Periumbilic rebound abdominal tenderness,0.93378
decreased output from the ostomy,True,Hx of ileostomy (reversed),0.9306884
radiating to the back,True,Central pain syndrome,0.87526935
multiple dilated loops of small bowel,True,Complete small bowel obstruction,0.9385992
a partial small bowel obstruction,True,Partial small bowel obstruction,0.98850065
The pain,True,Pain crisis,0.92278844
back pain,True,Back pain,1.0
fever spikes,True,Acute MI,0.92591006
OA,True,Melena,0.8920107
Afib,True,IUD surveillance,0.9152714
severe 3VD,True,HIV 2 infection,0.920933
known Atrial fibrillation,True,Chronic atrial fibrillation,0.9743195
a motor vehicle accident,True,"Cause of injury, agricultural vehicle accident",0.8973186
diagnosed liver,True,Acute MI,0.9076577
liver laceration laceration,True,Liver laceration,0.97626626
The liver laceration,True,Liver laceration,0.9697659
further complication,True,Postoperative complication,0.93205947
biliary stasis,True,Biliary colic,0.9448486
large right thyroid cystic mass,True,Right parotid cyst,0.9450668
eroding,True,Malt workers lung,0.8757678
hemoptysis,True,Hemoptysis,0.99999994
anaplastic thyroid carcinoma,True,"Thyroid cancer, anaplastic",0.95557046
a right neck mass,True,Mass of right foot joint,0.930791
The mass,True,Volume loss of lip,0.85393363
anaplastic tumors,True,"Thyroid cancer, anaplastic",0.92123914
necrotic,True,Subacute necrotic myelopathy,0.94067943
cystic,True,Eruption cyst,0.9198961
syncope,True,Syncope,0.99999946
SSS;,True,MSSA pneumonia,0.9218117
URI;,True,Anuria,0.88153815
a URI,True,IUD surveillance,0.9005883
dry cough;,True,Primary cough headache,0.9118529
sore throat,True,Throat clearing,0.9463235
myalgias,True,Myalgia,0.97385937
James pna,True,Bilat tailors bunion,0.9180906
hemoptysis;,True,Hemoptysis,0.9732053
coughed up,True,Choking sensation,0.8839053
blood,True,Bleeding,0.94530535
stridorous breathing,True,Bilious vomiting in newborn,0.9111258
Thyroid cyst,True,Thyroid cyst,0.9999999
tracheal mass,True,Tracheal cancer,0.97517943
night sweats,True,Night sweats,1.0000002
large thyroid mass,True,Thyroid mass,0.95515597
endotracheal obstructing tumor,True,Tracheal stenosis,0.9574077
extrinsic compression of the high trachea,True,Hx of ulnar entrapment neuropathy surgery,0.90436906
thyroid mass,True,Thyroid mass,1.0
the intratracheal tumor component,True,Cancer metastatic to intrathoracic ln,0.91912043
anaplastic tumor,True,"Anaplastic glioma, brain, unspecified site",0.9231462
his respiratory Sx,True,"Lobar pneumonia, LLL",0.9142628
hyperlipidemia,True,Hyperlipidemia,1.0
radiation,True,Glare,0.9183588
Symptoms,True,Worries,0.9643021
guidewire entrapment,True,Sternal wire complication,0.91816556
the wire,True,Suture removal,0.8582645
coffee ground emesis,True,Pseudo-Cushing syndrome due to alcohol,0.9123082
a bleed,True,Rash,0.90352607
peptic ulcer disease,True,Acute peptic ulcer,0.9785241
an acute myocardial infarction,True,Postmyocardial infarction syndrome,0.9525041
end-stage renal failure,True,Chronic renal insufficiency,0.9462507
type 1 diabetes,True,Type 2 MI,0.9154378
insulin-dependent diabetes,True,Insulin resistance,0.90946805
myocardial infarction,True,Postmyocardial infarction syndrome,0.96782005
her medical problems,True,Psychological factors affecting other medical conditions,0.9017216
a short segment of ureter,True,TB of ureter,0.9245589
anastomosed,True,Intestinal anastomotic stricture,0.93557394
difficulties,True,Confusion,0.9673821
cytomegalovirus,True,Right Cytomegalovirus retinitis,0.97976154
acute pulmonary edema,True,Acute pulmonary edema,1.0000002
this incident,True,Acute MI,0.9228254
specific ST changes,True,"Acute ST elevation MI, unspecified",0.8883967
some loss of her R wave progression laterally,True,Left pupil function abnormality,0.8986332
apparent deleterious effect,True,Toxic effect of paraffin wax,0.8805855
this episode,True,Acute MI,0.94089854
this event,True,Acute MI,0.91797954
slightly depressed left ventricular systolic function,True,Left ventricular diastolic dysfunction,0.9444649
severe posterior wall hypokinesis,True,Left ocular hypotonia due to ocular fistula,0.9283904
a small myocardial infarction,True,Subendocardial ischemia,0.94183147
elevated PSA,True,Elevated PSA,0.9999999
prostate cancer,True,Prostate cancer,0.9999997
His pain,True,Painful scar,0.90984863
type 1 diabetes mellitus,True,Neonatal diabetes mellitus,0.93209755
Her diabetes mellitus,True,Neonatal diabetes mellitus,0.90636605
retinopathy,True,Radiation retinopathy,0.95783925
nephropathy,True,Nephroptosis,0.9705506
peripheral neuropathy,True,Peripheral neuropathy,0.9999999
complication,True,Wound drainage,0.9245468
pelvic organ prolapse,True,Female genital organ prolapse,0.9656141
much worse,True,Lack of coordination,0.87690425
falling out.,True,Breath holding spell,0.88378906
urinates frequently,True,Urinary crystal,0.93836987
very slow to start,True,Effects of high pressure fluids,0.86941624
losing urine,True,Proteinuria,0.9004012
The prolapse,True,Anal prolapse,0.9377587
large and uncomfotable,True,"Sarcoma trunk, unspecified site",0.8815523
deep pain,True,Generalized pain,0.9633553
intraoperative complications,True,Postoperative complication,0.95255196
symptoms of lightheadedness,True,Lightheadedness,0.9454374
active bleeding,True,Breakthrough bleeding,0.9233578
tacchycardic,True,Tachycardia induced cardiomyopathy,0.9076811
a post-operative hematoma,True,Postprocedural breast hematoma,0.9179941
hemoperitonium,True,Traumatic hemoperitoneum,0.90617055
retroperitoneal clot,True,Retroperitoneal infection,0.9716402
source,True,Hunger,0.92263377
the bleeding,True,Breakthrough bleeding,0.88097245
continued to bleed,True,Recurrent pneumonia,0.901998
the bleeding vessel,True,Abdominal blood vessel injury,0.8984771
self-extubated,True,Failed intubation,0.91368955
a low grade fever,True,Localized swelling on head,0.8926723
a flash burn,True,Transient heat fatigue,0.91703457
the event,True,Tetany,0.89849114
his extensive burns,True,Burn of abdominal wall,0.8975176
His wounds,True,Ileus,0.89975876
his facial wounds,True,Right eyelid skin disorder,0.9075618
#NAME?,False,Right nursemaids elbow,0.810593
his injuries,True,Scalp injury,0.8574865
His Neurosurgical issues,True,Left arm postsurgical neuroma,0.90687627
His right tib / fib fracture,True,Open right navicular foot Fx,0.91676927
transfusion reaction,True,Blood transfusion reaction,0.9802787
any further reaction,False,Presence of AICD,0.84115463
an apparent infected wound,True,Open wound of chin,0.91102403
positive blood cultures,True,Positive culture finding,0.96473587
Staph. aureus,True,Staph aureus infection,0.961719
myocardial infarctions,True,Postmyocardial infarction syndrome,0.95664597
thelast episode,True,Macrotia,0.91804916
anoxic encephalopathy,True,Anoxic encephalopathy,0.9999999
recurrent angina,True,Stable angina,0.9654397
an occluded RCA,True,Hx of cerebral artery occlusive disease wo infarction,0.8952411
a fever,True,Acute MI,0.9210286
erythematous,True,Erythema,0.9417811
gram positive cocci,True,Gram negative pneumonia,0.95253026
cells,True,Fever,0.9417475
Clostridium difficile,True,C difficile infection,0.9421114
dementia,True,"Dementia due to Picks disease, unspecified severity",0.9310735
disorientation,True,"Mental status, transient alteration",0.86602795
periprosthetic aortic valve stenosis,True,Endoleak aortic graft complication,0.8968551
aortic valve thrombus,True,Aortic valve endocarditis,0.9552431
stenotic mech. valve,True,Zenkers diverticulum,0.9220185
decreased disc motion,True,Degenerative lordosis,0.8879143
mobile mass in LVOT,True,Abnl plasma viscosity,0.8990396
mild AI,True,Elevated CEA,0.89090455
mild to moderate MR,True,DM 1 w left mild nonproliferative retinopathy,0.87973076
trace TR.,True,TB of bone,0.8569621
pannus,True,Madura foot,0.9122555
thrombus,True,Cerebral artery thrombosis,0.91005546
Episode of AFib,True,CNS complication of OB anesthesia in childbirth,0.91111207
